# LK8000 RUSSIAN MESSAGES - RUS_MSG.TXT
# MASTER UPDATED:  130215
#
# This file is loaded on startup and all messages are stored internally.
# If you are translating these messages, try to respect sizes.
# The first _@Mn_  are the indexes, and you cannot change them!
#
# Please note that ENG_MSG.TXT is the english master language for LK8000
# and it should always exist. Do not change ENG_MSG.TXT!
#
# All lines that are empty, or starting with a # , are ignored.
# DEVELOPERS ADDING NEW MESSAGES HERE SHOULD REQUEST A NUMBERING SLOT TO PAOLO

_@M1_ "Разл"
_@M90_ "Всегда применять MC=0"
_@M91_ "Всегда применять безопасный MC"
_@M92_ "Янтарный"
_@M93_ "Анализ"
_@M94_ "Анимация"
_@M95_ "Добавить к задаче"
_@M96_ "Подтверд. старт"
_@M97_ "Подтвердить"
_@M98_ "Высота прилета"
_@M99_ "Стрелка"
_@M100_ "Спросить"
_@M101_ "Время задачи "
_@M102_ "АВТОВЫБОР: ПОДТВЕРЖД."
_@M103_ "АВТОВЫБОР: АВТОМАТИЧЕСКИ"
_@M104_ "АВТОВЫБОР: НЕПОДТВЕРЖД."
_@M105_ "АВТОВЫБОР: ВРУЧНУЮ"
_@M106_ "Подсветка "
_@M107_ "Автодолет "
_@M108_ "Принуд. автодолет "
_@M109_ "Режим авто MC "
_@M110_ "Авто макс. звук "
_@M111_ "Автовыбор "
_@M112_ "Автовыбор "
_@M113_ "Автозапись трека "
_@M114_ "Расчет ветра "
_@M115_ "Автомасштаб "
_@M116_ "Ср. подъем"
_@M117_ "Средняя скороподъемность"
_@M118_ "Средний подъем"
_@M119_ "РЕЗЕРВНЫЙ ИСТОЧНИК ПИТАНИЯ ВКЛЮЧЕН"
_@M120_ "БАРОМЕТРИЧЕСКАЯ ВЫСОТА ДОСТУПНА"
_@M121_ "БАРОМЕТРИЧЕСКАЯ ВЫСОТА НЕДОСТУПНА"
_@M122_ "БАРОМЕТРИЧЕСКАЯ ВЫСОТА НЕДОСТУПНА. ИСПОЛЬЗУЙТЕ GPS ВЫСОТУ"
_@M123_ "БАТАРЕЯ ЗАРЯЖЕНА НА 100%"
_@M124_ "БАТАРЕЯ ЗАРЯЖАЕТСЯ"
_@M125_ "Балласт "
_@M126_ "Сброс балласта "
_@M127_ "Барограмма"
_@M128_ "Основные"
_@M129_ "Основные настройки"
_@M130_ "Меню основных настроек"
_@M131_ "Основные"
_@M132_ "Батарея 1"
_@M133_ "Батарея 2"
_@M134_ "Внеш батареи"
_@M135_ "Скорость "
_@M136_ "Направление"
_@M137_ "Направление "
_@M138_ "Направление"
_@M139_ "Все ниже"
_@M140_ "Лучш кач"
_@M141_ "Предупр. альт. посад. "
_@M142_ "Города "
_@M143_ "Большие дороги "
_@M144_ "Черный"
_@M145_ "Пусто!"
_@M146_ "Блокировать Скорость полета"
_@M147_ "Голубой"
_@M148_ "Оба (ФД+СП)"
_@M149_ "Спираль + Зигзаг"
_@M150_ "Поле данных "
_@M151_ "Ячейка"
_@M152_ "С контуром, без значений"
_@M153_ "С контуром, со значениями"
_@M154_ "Курс"
_@M155_ "Проверка безопасной высоты прибытия\n"
_@M156_ "ЗАКРЫТЬ"
_@M157_ "ЗАКРЫТО"
_@M158_ "Подтвердить ЛЕТЕТЬ К? Задача прервется."
_@M159_ "Подтвердить ЛЕТЕТЬ К? Задача прервется."
_@M160_ "Расчет"
_@M161_ "Отмен"
_@M162_ "Невозможно переписать!"
_@M163_ "Автомобиль"
_@M164_ "Режим работы "
_@M165_ "Изм. базы"
_@M166_ "Центр "
_@M167_ "Центр"
_@M168_ "Изменения в конфигурации сохранены"
_@M169_ "Выбранной точки нет в задаче"
_@M170_ "Масштаб спирали "
_@M171_ "Радиус цилиндра "
_@M172_ "АВТОМАСШТАБ В СПИРАЛИ ВЫКЛЮЧЕН"
_@M173_ "АВТОМАСШТАБ В СПИРАЛИ ВКЛЮЧЕН"
_@M174_ "Масштаб в спирали "
_@M175_ "Спираль"
_@M176_ "Классические"
_@M177_ "Очистить Альт"
_@M178_ "Очистка задачи"
_@M179_ "Очистить задачу?"
_@M180_ "Очист"
_@M181_ "Изм. подъема"
_@M182_ "Подъем"
_@M183_ "Высота диапазона "
_@M184_ "В диап"
_@M185_ "Закрыть "
_@M186_ "Закр"
_@M187_ "База"
_@M188_ "Код"
_@M189_ "Цвета"
_@M190_ "Комментарий"
_@M191_ "Коммент.: "
_@M192_ "Страницы 3.*"
_@M193_ "Связь с регистр."
_@M194_ "Точки CompeGPS"
_@M195_ "Конфигурация"
_@M196_ "Виртуальные кнопки"
_@M197_ "Настройки топологии"
_@M198_ "Подтверждаете выход?"
_@M199_ "Соединение"
_@M200_ "Копир"
_@M201_ "Не удалось открыть IGC файл!"
_@M202_ "Масштаб перехода "
_@M203_ "Качество "
_@M204_ "Текущее положение обновлено"
_@M205_ "Настройка виртуальных кнопок"
_@M206_ "Файл поляры "
_@M207_ "Конфигурация виртуальных кнопок сохранена"
_@M208_ "Настройки шрифтов"
_@M209_ "Голубой"
_@M210_ "Цилиндр"
_@M211_ "DAT точки"
_@M212_ "СБРОС БАЛЛАСТА"
_@M213_ "Опасная Зона"
_@M214_ "Опасные зоны"
_@M215_ "Темно-серый"
_@M216_ "Молочный"
_@M217_ "Темносерый"
_@M218_ "Темносиний"
_@M219_ "Дата"
_@M220_ "Время реакции "
_@M221_ "Заявить задачу?"
_@M222_ "Заявить"
_@M223_ "Заявлено"
_@M224_ "Фильтр посадок "
_@M225_ "Фильтр точек "
_@M226_ "Масштаб по умолчанию"
_@M227_ "Умолчан."
_@M228_ "Удал"
_@M229_ "Удалить точку?"
_@M230_ "Удалить"
_@M231_ "Подробн"
_@M232_ " Прибор A"
_@M233_ " Прибор B"
_@M234_ "Модель прибора "
_@M235_ "Диалоговые окна"
_@M236_ "Лететь к точке"
_@M237_ "Направл. "
_@M238_ "Направл."
_@M239_ "Отключить"
_@M240_ "Нет связи"
_@M241_ "Экран"
_@M242_ "До финиша"
_@M243_ "Расстояние"
_@M244_ "Расстояния "
_@M245_ "Дистанция"
_@M246_ "Время сброса "
_@M247_ "Время "
_@M248_ "ВЫХОД"
_@M249_ "Изменить шрифт"
_@M250_ "Изменить старт. точку"
_@M251_ "Ввод текста"
_@M252_ "Измен"
_@M253_ "Качество "
_@M254_ "Необх.Качество"
_@M255_ "Высота"
_@M256_ "Изумрудный"
_@M257_ "Одноцветная карта "
_@M258_ "Включить"
_@M259_ "Включено"
_@M260_ "Инженерное меню "
_@M261_ "Ввести номер"
_@M262_ "Эквивалент MС"
_@M263_ "Ошибка сохранения задачи!"
_@M264_ "Ошибка файла задачи!"
_@M265_ "Ошибка! Задача не заявлена!"
_@M266_ "Ошибка"
_@M267_ "Расч. время задачи "
_@M268_ "События "
_@M269_ "Исключить"
_@M270_ "Ожидается своевременное завершение задачи"
_@M271_ "Эксперт"
_@M272_ "Расш.отобр.глайда"
_@M273_ "Расширенный"
_@M274_ "Сектор FAI"
_@M275_ "Высота финиша FAI "
_@M276_ "Высота финиша FAI "
_@M277_ "ИСПОЛЬЗОВАНИЕ РЕЗЕВНОГО GPS ПОРТА"
_@M278_ "ОШИБКА"
_@M279_ "FLARM ОБНАРУЖЕН"
_@M280_ "FLARM на карте "
_@M281_ "ПОЛЕТ"
_@M282_ "Район"
_@M283_ "Файл. браузер"
_@M284_ "Тип файла"
_@M285_ "Файл"
_@M286_ "Фильтр"
_@M287_ "Фильтр..."
_@M288_ "Долет автоматический"
_@M289_ "Долет принудительно включен"
_@M290_ "Финишный долет (ФД)"
_@M291_ "Финиш мин выс "
_@M292_ "Финиш мин. высота "
_@M293_ "Финиш мин выс "
_@M294_ "Радиальный финиш"
_@M295_ "Рад. финиша "
_@M296_ "Радиус финиша "
_@M297_ "Тип финиша "
_@M298_ "Тип финиша "
_@M299_ "Финиш"
_@M300_ "Завершено"
_@M301_ "Первые 3"
_@M302_ "Первые 5"
_@M303_ "Полож. ошибочно"
_@M304_ "Фиксиров."
_@M305_ "Воспр. полет"
_@M306_ "Время полета"
_@M307_ "Свбодн."
_@M308_ "Частота"
_@M309_ "Код друга"
_@M310_ "Полная стрелка"
_@M311_ "Отображать все"
_@M312_ "Полный"
_@M313_ "Самолет"
_@M314_ "СТАРТ ОТКРЫТ"
_@M315_ "СТАРТ"
_@M316_ "СТАРТ ЗАКРЫТ"
_@M317_ "СОБЩЕНИЯ COM-ПОРТА ОТКЛЮЧЕНЫ"
_@M318_ "Поправка GPS высоты "
_@M319_ "GPS блок."
_@M320_ "Интервал открытия "
_@M321_ "Датчики"
_@M322_ "Абсолютная высота "
_@M323_ "Невидимка "
_@M324_ "Индикатор высоты "
_@M325_ "Поляра "
_@M326_ "Отображение долета "
_@M327_ "Позиция планера "
_@M328_ "Планер"
_@M329_ "Лететь домой"
_@M330_ "Лететь к"
_@M331_ "Зеленый"
_@M332_ "Серый"
_@M333_ "Только справа"
_@M334_ "Фора "
_@M335_ "Размер "
_@M336_ "Справка"
_@M337_ "Скрывать единицы "
_@M338_ "Высокие горы"
_@M339_ "Большой"
_@M340_ "Контрастный"
_@M341_ "Стиль рекорда"
_@M342_ "Наибольш."
_@M343_ "Выход"
_@M344_ "НЕВЕРНЫЙ КУРС ИЛИ ОЧЕНЬ СИЛЬНЫЙ ВЕТЕР"
_@M345_ "НЕВЕРНАЯ ВОЗДУШНАЯ СКОРОСТЬ"
_@M346_ "Жесты IPhone "
_@M347_ "ОТКРЫТ"
_@M348_ "Значок "
_@M349_ "Игнор"
_@M350_ "Включить"
_@M351_ "Названия окон"
_@M352_ "Инфо окон малого значения"
_@M353_ "Значен. окон"
_@M354_ "Вставить ИнфоБлок"
_@M355_ "Разметка Окна"
_@M356_ "Информация"
_@M357_ "Вставить Точку"
_@M358_ "Вставить в задачу"
_@M359_ "Внутри"
_@M360_ "Старый формат задачи!"
_@M361_ "Негатив ЧБ "
_@M362_ "Обратные цвета "
_@M363_ "Инвертировать текст"
_@M364_ "Наоборот"
_@M365_ "Курсив "
_@M366_ "ДЕРЖИТЕ ПОСТОЯННУЮ ВОЗДУШНУЮ СКОРОСТЬ ДОЛЬШЕ"
_@M367_ "СОХРАНЯЙТЕ КУРС ДОЛЬШЕ"
_@M368_ "СОХРАНЯЙТЕ СКОРОСТЬ И КУРС ДОЛЬШЕ"
_@M369_ "СОХРАНЯЙТЕ СКОРОСТЬ ДОЛЬШЕ"
_@M370_ "Клавиши"
_@M371_ "Расчет АД качества "
_@M372_ "ПОСЛЕДНИЙ ЦИЛИНДР ОТКРЫТ"
_@M373_ "Темнозеленый"
_@M374_ "Зеленый"
_@M375_ "LK8000 Профили"
_@M376_ "LK8000 Трафик"
_@M377_ "LKoogle низменности"
_@M378_ "LKoogle горы"
_@M379_ "Обозначения на карте "
_@M380_ "Посадки и точки"
_@M381_ "Значки посадок "
_@M382_ "Только посадки"
_@M383_ "Стиль посадок "
_@M384_ "Значение посадок "
_@M385_ "Страницы 2.*"
_@M386_ "Время приземл."
_@M387_ "Язык "
_@M388_ "Слева "
_@M389_ "Меньше"
_@M390_ "Скороподъемность "
_@M391_ "Салатовый"
_@M392_ "Светлосерый"
_@M393_ "Линия"
_@M394_ "Вживую "
_@M395_ "Все равно загрузить?"
_@M396_ "Загрузить задачу"
_@M397_ "Загрузить этот профиль?"
_@M398_ "Загруз"
_@M399_ "Загрузка файла зон ВП..."
_@M400_ "Загрузка файла примечаний..."
_@M401_ "Местное время"
_@M402_ "Местн. время"
_@M403_ "Блокир."
_@M404_ "Ошибка записи трека"
_@M405_ "CIVL ID"
_@M406_ "CIVL ID:"
_@M407_ "Воспроизвести трек"
_@M408_ "ЗАПИСЬ НЕВОЗМОЖНА, НЕДОСТАТОЧНО ПАМЯТИ!"
_@M409_ "Трек"
_@M410_ "Длинный"
_@M411_ "Уточнить"
_@M412_ "Низкие Горы"
_@M413_ "Низменности"
_@M414_ "Малый"
_@M415_ "Низкий"
_@M416_ "Значение MC"
_@M417_ "Пурпурный"
_@M418_ "Вручную"
_@M419_ "Блокировка карты "
_@M420_ "Файл карты "
_@M421_ "Обозначения на карте выключены"
_@M422_ "Обозначения на карте включены"
_@M423_ "Отображение топологии на карте"
_@M424_ "Отображение точек на карте"
_@M425_ "Превышение "
_@M426_ "Поставить метку"
_@M427_ "Отмечать центр"
_@M428_ "Макс темп "
_@M429_ "Макс набор выс"
_@M430_ "Кол-во обозначений "
_@M431_ "Поселки "
_@M432_ "Средние дороги "
_@M433_ "Средний"
_@M434_ "Время показа меню "
_@M435_ "Меню"
_@M436_ "Метрические"
_@M437_ "Мин сниж"
_@M438_ "Больш."
_@M439_ "Возвышенности"
_@M440_ "Вниз"
_@M441_ "Вверх"
_@M442_ "Вниз"
_@M443_ "Вверх"
_@M444_ "Двигать"
_@M445_ "Движение"
_@M446_ "Окно сообщ."
_@M447_ "Многоцелевое меню"
_@M448_ "Многоцелевая прокрутка"
_@M449_ "NMEA проверка "
_@M450_ "Название "
_@M451_ "Название"
_@M452_ "Имя: "
_@M453_ "Названия в задаче"
_@M454_ "Названия"
_@M455_ "Морские"
_@M456_ "Ближняя точка"
_@M457_ "Новая Точка"
_@M458_ "Новый Профиль"
_@M459_ "Новая"
_@M460_ "Впер >"
_@M461_ "Следующая точка"
_@M462_ "Нет активных точек!"
_@M463_ "Нет Все"
_@M464_ "Нет Планера"
_@M465_ "Нет Лететь домой!"
_@M466_ "Нет соответствия!"
_@M467_ "Нет задачи для загрузки"
_@M468_ "Нет задачи"
_@M469_ "Нет точек"
_@M470_ "Нет данных"
_@M471_ "Нет положения"
_@M472_ "Нет планерам"
_@M473_ "Без посадок"
_@M474_ "Нет связи с GPS"
_@M475_ "Не отображать"
_@M476_ "Нет задачи"
_@M477_ "Нет трека"
_@M478_ "Нет выбранного файла точек, невозможно сохранить"
_@M479_ "Нет"
_@M480_ "Норма"
_@M481_ "Умный север"
_@M482_ "Поворачивать север"
_@M483_ "На север"
_@M484_ "Север/трек"
_@M485_ "Масштаб На север "
_@M486_ "Не хватает памяти для точек"
_@M487_ "Номер:"
_@M488_ "Номера"
_@M489_ "Выкл (G)"
_@M490_ "Выкл (no G)"
_@M491_ "Выкл"
_@M492_ "Отменить заявление?"
_@M493_ "OLC правила "
_@M494_ "Вкл (G)"
_@M495_ "Вкл (no G)"
_@M496_ "Вкл/Реальное положение"
_@M497_ "Вкл/Масштабировать"
_@M498_ "Вход"
_@M499_ "Отключить"
_@M500_ "Онлайн соревнование "
_@M501_ "Онлайн соревнование "
_@M502_ "Только LK-карты могут быть настроены!"
_@M503_ "Эта операция запрещена на оборудовании КЛУБА"
_@M504_ "Оптим"
_@M505_ "Оранжевый"
_@M506_ "Ориентация "
_@M507_ "Прочие"
_@M508_ "Цвет наложений "
_@M509_ "Заменить профиль?"
_@M510_ "Заменить?"
_@M511_ "PC/normal"
_@M512_ "PDA/normal"
_@M513_ "Пара/Дельта стартовые цилиндры"
_@M514_ "ПИТАНИЕ ВЫКЛЮЧЕНО"
_@M515_ "ПИТАНИЕ ВКЛЮЧЕНО"
_@M516_ "ПРОФИЛЬ"
_@M517_ "Последняя инфостраница"
_@M518_ "Отображать центр"
_@M519_ "Панорама"
_@M520_ "Параплан/Дельтаплан"
_@M521_ "Встав"
_@M522_ "Светлокоричневый"
_@M523_ "Сортиров."
_@M524_ "Имя пилота"
_@M525_ "Имя пилота: "
_@M526_ "Наклон "
_@M527_ "Выйдите из LK8000 и перегрузите устройство.\n"
_@M528_ "Файл поляры "
_@M529_ "Опрос"
_@M530_ "Порт "
_@M531_ "Давление "
_@M532_ "Профиль "
_@M533_ "Профиль уже существует"
_@M534_ "Профиль загружен!"
_@M535_ "Профиль сохранен!"
_@M536_ "Запретные Зоны"
_@M537_ "Запрет"
_@M538_ "СБРОСИТЬ ВСЕ COM-ПОРТЫ"
_@M539_ "РЕСТАРТ"
_@M540_ "Не прекращать RX соединение!"
_@M541_ "Радиальный"
_@M542_ "Железные дороги "
_@M543_ "Диапазон"
_@M544_ "Скор."
_@M545_ "Обновить"
_@M546_ "Отн. направление"
_@M547_ "Отн направл "
_@M548_ "Оставш. расстояние"
_@M549_ "Оставшееся время"
_@M550_ "Удалить точку"
_@M551_ "Удалить активную точку?"
_@M552_ "Удалить из задачи"
_@M553_ "Удалить"
_@M554_ "Переимен."
_@M555_ "Заменить в задаче"
_@M556_ "По умолчанию"
_@M557_ "Сброс высоты старта?"
_@M558_ "Сбросить и перезагрузить COM-порты?"
_@M559_ "Сброс на ноль высоты старта"
_@M560_ "Сброс"
_@M561_ "Перегрузите LK8000, чтоб принять изменения."
_@M562_ "Рестарт задачи"
_@M563_ "Рестарт задачи?"
_@M564_ "Огран. зоны"
_@M565_ "Ограничения"
_@M566_ "Повтор"
_@M567_ "Стальной"
_@M568_ "Справа "
_@M569_ "СИМ"
_@M570_ "СИМУЛЯТОР"
_@M571_ "СТАРТ"
_@M572_ "StF фактор риска"
_@M573_ "ОСТАНОВИТЬ СБРОС"
_@M574_ "Безопасное MС "
_@M575_ "Режим безоп. высоты "
_@M576_ "Безопасная высота "
_@M577_ "Блокир. безопасности "
_@M578_ "Видимые спутн."
_@M579_ "Сохранить?"
_@M580_ "Сохранить как"
_@M581_ "Сохранить изменения в файле точек?"
_@M582_ "Сохранить нов"
_@M583_ "Сохран"
_@M584_ "Очки"
_@M585_ "Отображение данных "
_@M586_ "Радиус точки "
_@M587_ "Радиус точки"
_@M588_ "Тип точки "
_@M589_ "Тип точки"
_@M590_ "Сектор"
_@M591_ "Выбор ВП"
_@M592_ "Выбор точки"
_@M593_ "Выбор цвета"
_@M594_ "Выбор модели"
_@M595_ "Выбор"
_@M596_ "Стандартный режим "
_@M597_ "Альт 1"
_@M598_ "Альт 2"
_@M599_ "Устан код друга"
_@M600_ "Устан код друга"
_@M601_ "Установить MC "
_@M602_ "Устан Альт 1"
_@M603_ "Устан Альт 2"
_@M604_ "Устан Командн"
_@M605_ "Устан как Дом"
_@M606_ "Диапазон настроек"
_@M607_ "Расчетная скорость "
_@M608_ "Установки ..."
_@M609_ "Тень"
_@M610_ "Затенение "
_@M611_ "Короткое имя файла "
_@M612_ "Короткий"
_@M613_ "ВЫКЛЮЧИТЬ ПОКАЗ ВП"
_@M614_ "ВКЛЮЧИТЬ ПОКАЗ ВП"
_@M615_ "Показать часы "
_@M616_ "ЗНАЧИТЕЛЬНОЕ ИЗМЕНЕНИЕ ВЕТРА"
_@M617_ "Села "
_@M618_ "Малые дороги "
_@M619_ "Деревни "
_@M620_ "СЛЕД ТРЕКА ВЫКЛЮЧЕН"
_@M621_ "ВКЛЮЧЕН ПОЛНЫЙ СЛЕД ТРЕКА"
_@M622_ "ВКЛЮЧЕН ДЛИННЫЙ СЛЕД ТРЕКА"
_@M623_ "ВКЛЮЧЕН КОРОТКИЙ СЛЕД ТРЕКА"
_@M624_ "ЗВУКИ ВЫКЛЮЧЕНЫ"
_@M625_ "ЗВУКИ ВКЛЮЧЕНЫ"
_@M626_ "Ск "
_@M627_ "Скорость "
_@M628_ "Достигн скорость"
_@M629_ "Средняя скорость"
_@M630_ "Расчетная скорость"
_@M631_ "Расчетная скорость"
_@M632_ "Скор"
_@M633_ "Гонка"
_@M634_ "Стандарт"
_@M635_ "Старт задачи на "
_@M636_ "Старт по-любому"
_@M637_ "Старт записи трека"
_@M638_ "Высота старта"
_@M639_ "Высота относительно "
_@M640_ "Высота относительно "
_@M641_ "Макс. старт. высота "
_@M642_ "Макс. старт. высота "
_@M643_ "Макс. старт. скорость "
_@M644_ "Макс. старт. скорость "
_@M645_ "Прев. макс. ст. выс. "
_@M646_ "Прев. макс. ст. скор. "
_@M647_ "Точка старта"
_@M648_ "Радиальн.Старт"
_@M649_ "Радиус старта "
_@M650_ "Радиус старта "
_@M651_ "Нарушены правила Старта"
_@M652_ "Нарушены правила Старта,\r\nно есть запас"
_@M653_ "Старт. скорость"
_@M654_ "Время старта"
_@M655_ "Тип старта "
_@M656_ "Тип старта "
_@M657_ "Старт"
_@M658_ "Экраны данных"
_@M659_ "Сообщения "
_@M660_ "Статус"
_@M661_ "Статус: Летательный аппарат"
_@M662_ "Статус: Внешнее устройство"
_@M663_ "Статус: Регламент"
_@M664_ "Статус: Система"
_@M665_ "Статус: Задача"
_@M666_ "Статус: Время"
_@M667_ "Установочные"
_@M668_ "Steady"
_@M669_ "Стоп записи трека"
_@M670_ "Стоп"
_@M671_ "Закат"
_@M672_ "Батарея"
_@M673_ "Состояние сисиемы"
_@M674_ "ЦЕЛЬ НАХОДИТСЯ СЗАДИ"
_@M675_ "ЦЕЛЬ БЛОКИРОВАНА"
_@M676_ "ЗАДАЧА ПЕРЕЗАПУЩЕНА"
_@M677_ "ИСТИНН."
_@M678_ "ПОВОРОТ"
_@M679_ "Вкладка"
_@M680_ "Время старта"
_@M681_ "Скор. цели"
_@M682_ "Поворачивать цель"
_@M683_ "Цель недоступна"
_@M684_ "Цель"
_@M685_ "Расчет задачи"
_@M686_ "Задача заявлена!"
_@M687_ "Финиш задачи"
_@M688_ "Обзор Задачи"
_@M689_ "Task Point"
_@M690_ "Задача"
_@M691_ "Скорость задачи "
_@M692_ "Старт задачи"
_@M693_ "Сост. задачи"
_@M694_ "Задача заявлена"
_@M695_ "Расстояние до цели "
_@M696_ "Файл задачи уже существует"
_@M697_ "Скорость задачи"
_@M698_ "Время до"
_@M699_ "Задача"
_@M700_ "Код команды"
_@M701_ "График температуры"
_@M702_ "Яркость ландшафта "
_@M703_ "Цвет ландшафта "
_@M704_ "Контраст ландшафта "
_@M705_ "Показать ландшафт "
_@M706_ "Ландшафт "
_@M707_ "Высота над рельефом "
_@M708_ "Ландшафт"
_@M709_ "Ландшафт\nВЫКЛ,"
_@M710_ "Стиль текста"
_@M711_ "Текст:"
_@M712_ "График скоропод. "
_@M713_ "Помощник центровки "
_@M714_ "Высота потока"
_@M715_ "Ядро потока "
_@M716_ "Эта точка только для чтения"
_@M717_ "Время"
_@M718_ "Шаг времени Вращения "
_@M719_ "Шаг времени Полета "
_@M720_ "Время"
_@M721_ "Задерж "
_@M722_ "Инфо страницы 3.*"
_@M723_ "Инфо страницы 2.*"
_@M724_ "Инфо страницы 4.*"
_@M725_ "Инфо страницы 1.*"
_@M726_ "Наложения"
_@M727_ "Очень много точек в задаче!"
_@M728_ "Верх экрана"
_@M729_ "Верх"
_@M730_ "Верх/Слева"
_@M731_ "Детализация топологии"
_@M732_ "Конфигурация топологии сохранена"
_@M733_ "Показать топологию "
_@M734_ "Обозначения топологии"
_@M735_ "Всего:"
_@M736_ "Линия трека "
_@M737_ "По треку"
_@M738_ "Страницы 4.*"
_@M739_ "Учитывать снос "
_@M740_ "Длинна следа "
_@M741_ "Толщина следа "
_@M742_ "Треугольник"
_@M743_ "True Type "
_@M744_ "Скорость расчета ИВ "
_@M745_ "Период расчета ИВ "
_@M746_ "Истинный ветер обновлен!"
_@M747_ "Открытие 1-го старта "
_@M748_ "Количество стартов "
_@M749_ "Повор. Точка"
_@M750_ "Фильтр точек 2.3 "
_@M751_ "Тип ЛА "
_@M752_ "Тип "
_@M753_ "НЕИЗВЕСТНО!"
_@M754_ "ОТКРЫТЬ"
_@M755_ "ИСПОЛЬЗУЕТСЯ ДОСТУПНАЯ БАРО ВЫСОТА"
_@M756_ "ИСПОЛЬЗУЕТСЯ БАРО ВЫСОТА"
_@M757_ "ИСПОЛЬЗУЕТСЯ GPS ВЫСОТА"
_@M758_ "Часовой пояс "
_@M759_ "Не удается изменить настройки порта"
_@M760_ "Не удается установить счетчики порта"
_@M761_ "Не удается установить RX-соединение к порту"
_@M762_ "Не удается открыть порт"
_@M763_ "Без контура, без значений"
_@M764_ "Без контура, со значениями"
_@M765_ "Не известно"
_@M766_ "Использ. GPS время "
_@M767_ "Использовать БАРО высоту"
_@M768_ "Использовать MC"
_@M769_ "Исп. средн. эффективн."
_@M770_ "Барометр. высота "
_@M771_ "Черный контур*"
_@M772_ "Vдостиг "
_@M773_ "Vрасч"
_@M774_ "Макс. скорость "
_@M775_ "Виртуальная точка"
_@M776_ "Подтв. финиша"
_@M777_ "Подтв. старта"
_@M778_ "Обозначения белым"
_@M779_ "Переменный"
_@M780_ "Варио черный"
