# LK8000 UKRAINIAN MESSAGES - UKR_MSG.TXT
# MASTER UPDATED:  150517
#
# This file is loaded on startup and all messages are stored internally.
# If you are translating these messages, try to respect sizes.
# The first _@Mn_  are the indexes, and you cannot change them!
#
# Please note that ENG_MSG.TXT is the english master language for LK8000
# and it should always exist. Do not change ENG_MSG.TXT!
#
# All lines that are empty, or starting with a # , are ignored.
# DEVELOPERS ADDING NEW MESSAGES HERE SHOULD REQUEST A NUMBERING SLOT TO PAOLO

@M1_ "Різн"
_@M263_ "Помилка збереження задачі!"
_@M264_ "Помилка файлу задачі!"
_@M265_ "Помилка! Задача не заявлена!"
_@M266_ "Помилка"
_@M267_ "Розрх. час задачі "
_@M268_ "Події "
_@M269_ "Прибрати"
_@M270_ "Очікується вчасне завершення задачі"
_@M271_ "Експерт"
_@M272_ "Розш.відобр.глайду"
_@M273_ "Розширений"
_@M274_ "Сектор FAI"
_@M275_ "Висота фінішу FAI "
_@M276_ "Висота фінішу FAI "
_@M277_ "ВИКОРИСТАННЯ РЕЗЕВНОГО GPS ПОРТУ"
_@M278_ "ПОМИЛКА"
_@M279_ "FLARM ВИЯВЛЕНО"
_@M280_ "FLARM на карті "
_@M281_ "ПОЛІТ"
_@M282_ "Район"
_@M283_ "Файл. браузер"
_@M284_ "Тип файлу"
_@M285_ "Файл"
_@M286_ "Фільтр"
_@M287_ "Фільтр..."
_@M288_ "Доліт автоматичний"
_@M289_ "Доліт примусово ввімкнений"
_@M290_ "Фінішній доліт (ФД)"
_@M291_ "Фініш мін вис "
_@M292_ "Фініш мін. висота "
_@M293_ "Фініш мін вис "
_@M294_ "Радіальний фініш"
_@M295_ "Рад. фінішу "
_@M296_ "Радіус фінішу "
_@M297_ "Тип фінішу "
_@M298_ "Тип фінішу "
_@M299_ "Фініш"
_@M300_ "Завершено"
_@M301_ "Перші 3"
_@M302_ "Перші 5"
_@M303_ "Полож. помилкове"
_@M304_ "Фіксован."
_@M305_ "Відобр. політ"
_@M306_ "Час польоту"
_@M307_ "Вільний"
_@M308_ "Частота"
_@M309_ "Код друга"
_@M310_ "Повна стрілка"
_@M311_ "Відображати все"
_@M312_ "Повний"
_@M313_ "Літак"
_@M314_ "СТАРТ ВІДКРИТО"
_@M315_ "СТАРТ"
_@M316_ "СТАРТ ЗАКРИТО"
_@M317_ "ПОВІДОМЛЕННЯ COM-ПОРТУ ВІДКЛЮЧЕНО"
_@M318_ "Поправка GPS висоти "
_@M319_ "GPS блок."
_@M320_ "Інтервал відкриття "
_@M321_ "Датчики"
_@M322_ "Абсолютна висота "
_@M323_ "Невидимка "
_@M324_ "Індикатор висоти "
_@M325_ "Поляра "
_@M326_ "Показ дольоту "
_@M327_ "Позиція планера "
_@M328_ "Планер"
_@M329_ "Летіти додому"
_@M330_ "Летіти до"
_@M331_ "Зелений"
_@M332_ "Сірий"
_@M333_ "Тільки зправа"
_@M334_ "Фора "
_@M335_ "Размір "
_@M336_ "Довідка"
_@M337_ "Сховати одиниці "
_@M338_ "Високі гори"
_@M339_ "Великий"
_@M340_ "Контрастний"
_@M341_ "Стиль рекорду"
_@M342_ "Найбільш."
_@M343_ "Вихід"
_@M344_ "НЕВІРНІЙ КУРС АБО ДУЖЕ СИЛЬНИЙ ВІТЕР"
_@M345_ "НЕВІРНА ПОВІТРЯНА ШВИДКІСТЬ"
_@M346_ "Жести IPhone "
_@M347_ "ВІДКР"
_@M348_ "Значок "
_@M349_ "Ігнор"
_@M350_ "Ввімкнути"
_@M351_ "Назви вікон"
_@M352_ "Інфо вікон малого значення"
_@M353_ "Значен. вікон"
_@M354_ "Вставити ІнфоБлок"
_@M355_ "Размітка Вікна"
_@M356_ "Інформація"
_@M357_ "Вставити Точку"
_@M358_ "Вставити в задачу"
_@M359_ "Всередині"
_@M360_ "Старий формат задачі!"
_@M361_ "Негатив ЧБ "
_@M362_ "Обернені кольори "
_@M363_ "Инвертувати текст"
_@M364_ "Навпаки"
_@M365_ "Курсив "
_@M366_ "ТРИМАЙТЕ ПОСТІЙНУ ПОВІТРЯНУ ШВИДКІСТЬ ДОВШЕ"
_@M367_ "ЗБЕРІГАЙТЕ КУРС ДОВШЕ"
_@M368_ "ЗБЕРІГАЙТЕ ШВИДКІСТЬ І КУРС ДОВШЕ"
_@M369_ "ЗБЕРІГАЙТЕ ШВИДКІСТЬ ДОВШЕ"
_@M370_ "Клавіші"
_@M371_ "Розрах АД якості "
_@M372_ "ОСТАННІЙ ЦИЛІНДР ВІДКРИТО"
_@M373_ "Темнозелений"
_@M374_ "Зелений"
_@M375_ "LK8000 Профілі"
_@M376_ "LK8000 Трафік"
_@M377_ "LKoogle низменості"
_@M378_ "LKoogle гори"
_@M379_ "Позначення на карті "
_@M380_ "Посадки і точки"
_@M381_ "Значки посадок "
_@M382_ "Тільки посадки"
_@M383_ "Стиль посадок "
_@M384_ "Значення посадок "
_@M385_ "Сторінки 2.*"
_@M386_ "Час приземл."
_@M387_ "Мова "
_@M388_ "Зліва "
_@M389_ "Менше"
_@M390_ "Швидкість підйому "
_@M391_ "Салатовий"
_@M392_ "Світлосірий"
_@M393_ "Лінія"
_@M394_ "Вживу "
_@M395_ "Всеодно завантажити?"
_@M396_ "Завантажити задачу"
_@M397_ "Завантажити цей профіль?"
_@M398_ "Завант"
_@M399_ "Завантаження файлу зон ВП..."
_@M400_ "Завантаження файлу приміток..."
_@M401_ "Місцевий час"
_@M402_ "Місц. час"
_@M403_ "Блокув."
_@M404_ "Помилка запису треку"
_@M405_ "CIVL ID"
_@M406_ "CIVL ID:"
_@M407_ "Показати трек"
_@M408_ "ЗАПИС НЕМОЖЛИВИЙ, НЕДОСТАТНЬО ПАМЯТі!"
_@M409_ "Трек"
_@M410_ "Довгий"
_@M411_ "Уточнити"
_@M412_ "Низькі Гори"
_@M413_ "Низменості"
_@M414_ "Малий"
_@M415_ "Низький"
_@M416_ "Значення MC"
_@M417_ "Пурпурний"
_@M418_ "Вручну"
_@M419_ "Блокування карти "
_@M420_ "Файл карти "
_@M421_ "Позначення на карті вимкнені"
_@M422_ "Позначення на карті ввімкнені"
_@M423_ "Вигляд топології на карті"
_@M424_ "Вигляд точок на карті"
_@M425_ "Перевищення "
_@M426_ "Поставити мітку"
_@M427_ "Відмічати центр"
_@M428_ "Макс темп "
_@M429_ "Макс набір вис"
_@M430_ "Кіл-сть значень "
_@M431_ "Селища "
_@M432_ "Середні дороги "
_@M433_ "Середній"
_@M434_ "Час показу меню "
_@M435_ "Меню"
_@M436_ "Метричні"
_@M437_ "Мін зниж"
_@M438_ "Більш."
_@M439_ "Підвищення"
_@M440_ "Вниз"
_@M441_ "Вверх"
_@M442_ "Вниз"
_@M443_ "Вверх"
_@M444_ "Рухати"
_@M445_ "Рух"
_@M446_ "Вікно повід."
_@M447_ "Багатоцільове меню"
_@M448_ "Багатоцільова прокрутка"
_@M449_ "NMEA перевірка "
_@M450_ "Назва "
_@M451_ "Назва"
_@M452_ "Ім'я: "
_@M453_ "Назва в задачі"
_@M454_ "Назва"
_@M455_ "Морські"
_@M456_ "Ближня точка"
_@M457_ "Нова Точка"
_@M458_ "Новий Профіль"
_@M459_ "Нова"
_@M460_ "Впер >"
_@M461_ "Наступна точка"
_@M462_ "Нема активних точок!"
_@M463_ "Нема Нічого"
_@M464_ "Нема Планера"
_@M465_ "Нема Летіти додому!"
_@M466_ "Нема відповідності!"
_@M467_ "Нема задачі для завант"
_@M468_ "Нема задачі"
_@M469_ "Нема точок"
_@M470_ "Нема даних"
_@M471_ "Нема положення"
_@M472_ "Нема планерам"
_@M473_ "Без посадок"
_@M474_ "Нема звязку з GPS"
_@M475_ "Не відображати"
_@M476_ "Нема задачі"
_@M477_ "Нема треку"
_@M478_ "Нема файлу точок, неможливо зберегти"
_@M479_ "Ні"
_@M480_ "Норма"
_@M481_ "Розумна Північ"
_@M482_ "Повертати Північ"
_@M483_ "На Північ"
_@M484_ "Північ/трек"
_@M485_ "Масштаб На Північ "
_@M486_ "Замало памяті для точок"
_@M487_ "Номер:"
_@M488_ "Номери"
_@M489_ "Вимк (G)"
_@M490_ "Вимк (no G)"
_@M491_ "Вимк"
_@M492_ "Відмінити заяву?"
_@M493_ "OLC правила "
_@M494_ "Ввімк (G)"
_@M495_ "Ввімк (no G)"
_@M496_ "Ввімк/Реальне положення"
_@M497_ "Ввімк/Масштабувати"
_@M498_ "Вхід"
_@M499_ "Вимкнути"
_@M500_ "Онлайн змагання "
_@M501_ "Онлайн змагання "
_@M502_ "Тільки LK-карти можуть бути налаштовані!"
_@M503_ "Ця операція заборонена на обладнанні КЛУБУ"
_@M504_ "Оптим"
_@M505_ "Оранжевий"
_@M506_ "Орієнтація "
_@M507_ "Інші"
_@M508_ "Колір накладень "
_@M509_ "Замінити профіль?"
_@M510_ "Замінити?"
_@M511_ "PC/normal"
_@M512_ "PDA/normal"
_@M513_ "Пара/Дельта стартові циліндри"
_@M514_ "ЖИВЛЕННЯ ВИМКНЕНО"
_@M515_ "ЖИВЛЕННЯ ВВІМКНЕНО"
_@M516_ "ПРОФІЛЬ"
_@M517_ "Остання інфосторінка"
_@M518_ "Відображати центр"
_@M519_ "Панорама"
_@M520_ "Параплан/Дельтаплан"
_@M521_ "Встав"
_@M522_ "Світлокоричневий"
_@M523_ "Сортувати"
_@M524_ "І'мя пілота"
_@M525_ "І'мя пілота: "
_@M526_ "Нахил "
_@M527_ "Вийдіть з LK8000 і перезавантажте пристрій.\n"
_@M528_ "Файл поляри "
_@M529_ "Опитування"
_@M530_ "Порт "
_@M531_ "Тиск "
_@M532_ "Профіль "
_@M533_ "Профіль вже існує"
_@M534_ "Профіль завантажено!"
_@M535_ "Профіль збережено!"
_@M536_ "Заборонені Зони"
_@M537_ "Заборона"
_@M538_ "ОЧИСТИТИ ВСІ COM-ПОРТИ"
_@M539_ "РЕСТАРТ"
_@M540_ "Не припиняти RX зєднання!"
_@M541_ "Радіальний"
_@M542_ "Залізниці "
_@M543_ "Діапазон"
_@M544_ "Швидк."
_@M545_ "Оновити"
_@M546_ "Відн. напрямок"
_@M547_ "Відн напр "
_@M548_ "Відстань залишилось"
_@M549_ "Час залишилось"
_@M550_ "Видалити точку"
_@M551_ "Видалити активну точку?"
_@M552_ "Видалити з задачі"
_@M553_ "Видалити"
_@M554_ "Переімен."
_@M555_ "Замінити в задачі"
_@M556_ "По замовчуванню"
_@M557_ "Скидання висоти старту?"
_@M558_ "Скинути й оновити COM-порти?"
_@M559_ "Скинути на нуль висоти старту"
_@M560_ "Скидання"
_@M561_ "Перезавантажте LK8000, щоб прийняти зміни."
_@M562_ "Рестарт задачі"
_@M563_ "Рестарт задачі?"
_@M564_ "Обмеж. зони"
_@M565_ "Обмеження"
_@M566_ "Повтор"
_@M567_ "Стальний"
_@M568_ "Зправа "
_@M569_ "СИМ"
_@M570_ "СИМУЛЯТОР"
_@M571_ "СТАРТ"
_@M572_ "StF фактор ризику"
_@M573_ "ЗУПИНИТИ СКИДАННЯ"
_@M574_ "Безпечне MС "
_@M575_ "Режим безп. висоти "
_@M576_ "Безпечна висота "
_@M577_ "Блокув. безпеки "
_@M578_ "Видимі супутн"
_@M579_ "Зберегти?"
_@M580_ "Зберегти як"
_@M581_ "Зберегти зміни в файлі точок?"
_@M582_ "Зберегти нов"
_@M583_ "Зберегти"
_@M584_ "Очки"
_@M585_ "Показ даних "
_@M586_ "Радіус точки "
_@M587_ "Радіус точки"
_@M588_ "Тип точки "
_@M589_ "Тип точки"
_@M590_ "Сектор"
_@M591_ "Вибір ПП"
_@M592_ "Вибір точки"
_@M593_ "Вибір кольору"
_@M594_ "Вибір моделі"
_@M595_ "Вибір"
_@M596_ "Стандартний режим "
_@M597_ "Альт 1"
_@M598_ "Альт 2"
_@M599_ "Встан код друга"
_@M600_ "Встан код друга"
_@M601_ "Встановити MC "
_@M602_ "Встан Альт 1"
_@M603_ "Встан Альт 2"
_@M604_ "Встан Командн"
_@M605_ "Встан як Дім"
_@M606_ "Діапазон налаштувань"
_@M607_ "Роррахункова швидкість "
_@M608_ "Налаштування ..."
_@M609_ "Тінь"
_@M610_ "Затінення "
_@M611_ "Коротке і'мя файлу "
_@M612_ "Короткий"
_@M613_ "ВИМКНУТИ ПОКАЗ ПП"
_@M614_ "ВВІМКНУТИ ПОКАЗ ПП"
_@M615_ "Показати годинник "
_@M616_ "ЗНАЧНА ЗМІНА ВІТРУ!"
_@M617_ "Села "
_@M618_ "Малі дороги "
_@M619_ "малі села "
_@M620_ "СЛІД ТРЕКУ ВИМКНЕНО"
_@M621_ "ВВІМКНЕНО ПОВНИЙ СЛІД ТРЕКУ"
_@M622_ "ВВІМКНЕНО ДОВГЙ СЛІД ТРЕКУ"
_@M623_ "ВВІМКНЕНО КОРОТКИЙ СЛІД ТРЕКУ"
_@M624_ "ЗВУКИ ВИМКНЕНО"
_@M625_ "ЗВУКИ ВВІМКНЕНО"
_@M626_ "Шв "
_@M627_ "Швидкість "
_@M628_ "Досягн швидкість"
_@M629_ "Середня швидкість"
_@M630_ "Розрхн швидкість"
_@M631_ "Розрахункова швидкість"
_@M632_ "Швдк"
_@M633_ "Гонка"
_@M634_ "Стандарт"
_@M635_ "Старт задачі на "
_@M636_ "Старт по-любому"
_@M637_ "Старт запису треку"
_@M638_ "Висота старту"
_@M639_ "Висота відносно "
_@M640_ "Висота відносно "
_@M641_ "Макс. старт. висота "
_@M642_ "Макс. старт. висота "
_@M643_ "Макс. старт. швидкість "
_@M644_ "Макс. старт. швидкість "
_@M645_ "Перев. макс. ст. вис. "
_@M646_ "Перев. макс. ст. швдк. "
_@M647_ "Точка старту"
_@M648_ "Радіальн.Старт"
_@M649_ "Радіус старту "
_@M650_ "Радіус старту "
_@M651_ "Порушено правила Старту"
_@M652_ "Порушено правила Старту,\r\nно есть запас"
_@M653_ "Старт. швидкість"
_@M654_ "Час старту"
_@M655_ "Тип старту "
_@M656_ "Тип старту "
_@M657_ "Старт"
_@M658_ "Екрани даних"
_@M659_ "Повідомлення "
_@M660_ "Статус"
_@M661_ "Статус: Літальний апарат"
_@M662_ "Статус: Зовнішній пристрій"
_@M663_ "Статус: Регламент"
_@M664_ "Статус: Система"
_@M665_ "Статус: Задача"
_@M666_ "Статус: Час
_@M667_ "Установчі"
_@M668_ "Неухильні"
_@M669_ "Стоп запису треку"
_@M670_ "Стоп"
_@M671_ "Захід"
_@M672_ "Батарея"
_@M673_ "Стан системи"
_@M674_ "ЦІЛЬ ЗНАХОДИТЬСЯ ПОЗАДУ"
_@M675_ "ЦІЛЬ БЛОКОВАНА"
_@M676_ "ЗАДАЧУ ПЕРЕЗАПУЩЕНО"
_@M677_ "ІСТИНН."
_@M678_ "ПОВОРОТ"
_@M679_ "Вкладка"
_@M680_ "Час старту"
_@M681_ "Швдк. цілі"
_@M682_ "Повертати ціль"
_@M683_ "Ціль недоступна"
_@M684_ "Ціль"
_@M685_ "Розрахунок задачі"
_@M686_ "Задачу заявлено!"
_@M687_ "Фініш задачі"
_@M688_ "Огляд Задачі"
_@M689_ "Точка задачі"
_@M690_ "Задача"
_@M691_ "Швидкість задачі "
_@M692_ "Старт задачі"
_@M693_ "Стан задачі"
_@M694_ "Задачу заявлено"
_@M695_ "Відстань до цілі "
_@M696_ "Файл задачі вже існує"
_@M697_ "Швидкість задачи"
_@M698_ "Час до"
_@M699_ "Задача"
_@M700_ "Код команди"
_@M701_ "Графік температури"
_@M702_ "Яскравість ландшафту "
_@M703_ "Колір ландшафту "
_@M704_ "Контраст ландшафту "
_@M705_ "Показати ландшафт "
_@M706_ "Ландшафт "
_@M707_ "Висота над рел'єфом "
_@M708_ "Ландшафт"
_@M709_ "Ландшафт\nВИМК,"
_@M710_ "Стиль тексту"
_@M711_ "Текст:"
_@M712_ "Графік швд. підйому "
_@M713_ "Помічник центрування "
_@M714_ "Висота потоку"
_@M715_ "Ядро потоку "
_@M716_ "Ця точка тільки для читання"
_@M717_ "Час"
_@M718_ "Крок часу в спіралі "
_@M719_ "Крок часу Польоту "
_@M720_ "Час"
_@M721_ "Затримк "
_@M722_ "Інфо сторінки 3.*"
_@M723_ "Інфо сторінки 2.*"
_@M724_ "Інфо сторінки 4.*"
_@M725_ "Інфо сторінки 1.*"
_@M726_ "Накладення"
_@M727_ "Дуже багато точок в задачі!"
_@M728_ "Верх екрану"
_@M729_ "Верх"
_@M730_ "Верх/Зліва"
_@M731_ "Деталізація топології"
_@M732_ "Конфігурацію топології збережено"
_@M733_ "Показати топологію "
_@M734_ "Позначки топології"
_@M735_ "Всього:"
_@M736_ "Лінія треку "
_@M737_ "По треку"
_@M738_ "Сторінки 4.*"
_@M739_ "Врахув. знос"
_@M740_ "Довжина сліду "
_@M741_ "Товщина сліду "
_@M742_ "Трикутник"
_@M743_ "True Type "
_@M744_ "Швидкість розрах. ІВ "
_@M745_ "Період розрах. ІВ "
_@M746_ "Істинний вітер оновлено!"
_@M747_ "Відкриття 1-го старту "
_@M748_ "Кількість стартів "
_@M749_ "Повор. Точка"
_@M750_ "Фільтр точок 2.3 "
_@M751_ "Тип ЛА "
_@M752_ "Тип "
_@M753_ "НЕВІДОМО!"
_@M754_ "ВІДКРИТИ"
_@M755_ "ВИКОРИСТОВУЄТЬСЯ ДОСТУПНА БАРО ВИСОТА"
_@M756_ "ВИКОРИСТОВУЄТЬСЯ БАРО ВИСОТА"
_@M757_ "ВИКОРИСТОВУЄТЬСЯ GPS ВИСОТА"
_@M758_ "Часовий пояс "
_@M759_ "Не вдається змінити налаштування порту"
_@M760_ "Не вдається встановити лічильники порту"
_@M761_ "Не вдається встановити RX-зєднання до порту"
_@M762_ "Не вдається відкрити порт"
_@M763_ "Без контуру, без значень"
_@M764_ "Без контуру, зі значеннями"
_@M765_ "Не відомо"
_@M766_ "Використ. GPS час "
_@M767_ "Використовувати БАРО висоту"
_@M768_ "Використовувати MC"
_@M769_ "Викор. середн. ефективн."
_@M770_ "Барометр. висота "
_@M771_ "Чорний контур*"
_@M772_ "Vдосягн "
_@M773_ "Vрозр"
_@M774_ "Макс. швидкість "
_@M775_ "Віртуальна точка"
_@M776_ "Підтв. фінішу"
_@M777_ "Підтв. старту"
