# LK8000 ENGLISH MESSAGES - ENG_MSG.TXT
# MASTER UPDATED:  101216
#
# This file is loaded on startup and all messages are stored internally.
# If you are translating these messages, try to respect sizes.
# The first _@Mn_  are the indexes, and you cannot change them!
#
# Please note that ENG_MSG.TXT is the english master language for LK8000
# and it should always exist. Do not change ENG_MSG.TXT.
#
# All lines that are empty, or starting with a 
# , are ignored.

# DEVELOPERS ADDING MESSAGES HERE SHOULD REQUEST A NUMBERING SLOT TO PAOLO





_@M1_ " Razlika"
_@M296_ "Krajni polupr."
_@M297_ "Krajni tip "
_@M298_ "Krajni tip"
_@M299_ "Kraj"
_@M300_ "Završeno"
_@M301_ "Prva 3"
_@M302_ "Prvih 5"
_@M303_ "Popravka nemoguća"
_@M304_ "Popravlјeno"
_@M305_ "Popravlјeni let"
_@M306_ "Vreme letenja"
_@M307_ "Slobodno"
_@M308_ "Frekfr."
_@M309_ "Drugarski kod "
# 310 REMOVED after v2.3
_@M310_ "Puna strelica"
_@M311_ "Puno preklapanje"
_@M312_ "Puno"
_@M313_ "GA Vazduhoplov"
_@M314_ "KAPIJA OTVORENA"
_@M315_ "KAPIJA"
_@M316_ "KAPIJA ZATVORENA"
_@M317_ "COM IZVEŠTAJ IDE NA TIŠINU"
_@M318_ "GPS Visinska kompenz. "
_@M319_ "GPS zaklјučan"
_@M320_ "Interval kapije "
_@M321_ "Manometar"
_@M322_ "Geoid visina "
_@M323_ "Duh "
_@M324_ "Panel indikator kret. "
_@M325_ "Polara finesa"
_@M326_ "Linija kretanja po tere. "
_@M327_ "Pozicija vazduhoplova "
_@M328_ "Vazduhop."
_@M329_ "Vodi me KUĆI"
_@M330_ "Idi na"
_@M331_ "Zelena"
_@M332_ "Siva"
_@M333_ "1/2 preklapanja"
_@M334_ "Olakšica "
_@M335_ "Visina"
_@M336_ "Pomoć"
_@M337_ "Skrivanje jedinice "
_@M338_ "Visina ALPI"
_@M339_ "Visina"
_@M340_ "Kontrast po visini"
# 341 REMOVED after v2.3
_@M341_ "Stil visokog rezultata"
# 342 UNUSED after v2.3
_@M342_ "Višlјi"
_@M343_ "U (Izlaz)"
_@M344_ "NETAČAN PRAVAC ILI PREJAK VETAR"
_@M345_ "NETAČNA BRZINA VETRA"
_@M346_ "IPhone pokreti "
_@M347_ "IS OTVOREN"
_@M348_ "Ikona "
_@M349_ "Ignoriši"
_@M350_ "Uklјučeno"
_@M351_ "InfoBox nazivi"
# 352 REMOVED after v2.3
_@M352_ "InfoBox male vrednosti"
_@M353_ "InfoBox vrednosti"
_@M354_ "InfoBox spojiti"
# 355 REMOVED after v2.3
_@M355_ "Infobox Geometrija"
_@M356_ "Informacije"
_@M357_ "Umetni tačku 'WP'"
_@M358_ "Ubaci u zadatak"
_@M359_ "U vaz.prostoru"
_@M360_ "Neispravan startni format zadatka!"
_@M361_ "Inverzne C/B boje "
_@M362_ "Inverzne boje "
_@M363_ "Prevrni boje"
_@M364_ "Prevrnuto"
_@M365_ "Iskošeno"
_@M366_ "ZADRŽITE KONSTANTNU BRZINU MOLIMO DUŽE"
_@M367_ "ZADRŽITE PRAVAC MALO DUŽE"
_@M368_ "ZADRŽITE BRZINU I PRAVAC MALO DUŽE"
_@M369_ "ZADRŽITE BRZINU MALO DUŽE"
# 370 REMOVED after v2.3
_@M370_ "Tastatura"
_@M371_ "Prosečni period 'L/D' "
_@M372_ "POSLEDNјA KAPIJA JE OTVORENA"
_@M373_ "LCD tamno zelena"
_@M374_ "LCD zelena"
_@M375_ "LK8000 Profili"
_@M376_ "LK8000 Saobraćaj"
_@M377_ "LKoogle Niska zemlјa"
_@M378_ "LKoogle Planina"
_@M379_ "Etiketa "
_@M380_ "Sletište i Okretna tačka"
_@M381_ "Ikona sletišta "
_@M382_ "Samo sletište"
_@M383_ "Stil sletišta "
_@M384_ "Vrednost sletišta "
_@M385_ "Sletište"
_@M386_ "Vreme sletanja"
_@M387_ "Jezik "
_@M388_ "Levo "
# 389 UNUSED after v2.3
_@M389_ "Manje"
_@M390_ "Termal "
_@M391_ "Svetlo zeleno"
_@M392_ "Svetlo sivo"
_@M393_ "Linija"
_@M394_ "Uživo prenos "
_@M395_ "Učitaj u svakom slučaju?"
_@M396_ "Učitaj zadatak"
_@M397_ "Učitaj profil?"
_@M398_ "UČITANO"
_@M399_ "Učitavanje fajla vazdušnog prostora ..."
_@M400_ "Učitavanje fajla opisa tačaka 'WP'..."
_@M401_ "Lokalno vreme "
_@M402_ "Lokalno vreme "
_@M403_ "Zaklјučan"
_@M404_ "Greška u upisu u LOG fajl"
_@M405_ "IB let.dnevnika"
_@M406_ "IB let.dnevnika: "
_@M407_ "Odgovor let.dnevnika"
_@M408_ "Let.dnevnik neaktivan, nema prostora na TLK uređaju!"
_@M409_ "Let. dnevnik"
_@M410_ "Dugačko"
_@M411_ "Pogledaj"
_@M412_ "Niske ALPI"
_@M413_ "Niska zemlјa"
_@M414_ "Nisko"
# 415 UNUSED after v2.3
_@M415_ "Najniže"
_@M416_ "MacCready vrednost "
_@M417_ "Purpurno crvena"
_@M418_ "Ručno"
# 419 no more used after 2.3
_@M419_ "Zaklјučavanje mape "
_@M420_ "Fajl mape "
_@M421_ "Ime na mapi ISKLj."
_@M422_ "Ime na mapi UKLjU."
_@M423_ "Ime na mapi TOPOL."
_@M424_ "'WP' mapa"
_@M425_ "Ivica "
_@M426_ "Snimanje GPS lokacije"
_@M427_ "Markiranje centra"
_@M428_ "Maks.Tempe. "
_@M429_ "Maks.dobij.visina"
_@M430_ "Maks. etiketa "
_@M431_ "Srednji gradovi "
_@M432_ "Srednji putevi "
_@M433_ "Srednji"
_@M434_ "Vreme menija "
_@M435_ "Meni"
_@M436_ "Metrični"
_@M437_ "Mini.propad."
# 438 UNUSED after v2.3
_@M438_ "Više"
_@M439_ "Planinski"
_@M440_ "Pomeri dole"
_@M441_ "Pomeri gore"
_@M442_ "Pomeri tačku dole"
_@M443_ "Pomeri tačku gore"
_@M444_ "Pomeri"
_@M445_ "Pomeranje"
# 446 REMOVED after v2.3
_@M446_ "Prozor poruke"
_@M447_ "Višecilјni meni"
_@M448_ "Višecilјno rotiranje"
_@M449_ "NMEA Prv.zapisa "
_@M450_ "Ime "
_@M451_ "Ime"
_@M452_ "Ime: "
_@M453_ "Ime u zadatku"
_@M454_ "Imena"
_@M455_ "Nautički"
_@M456_ "Blizu"
_@M457_ "Nova tačka 'WP'"
_@M458_ "Novi profil"
_@M459_ "Novi"
_@M460_ "->>>>>>"
_@M461_ "Sledeća okret.tačka"
_@M462_ "Nema aktivne tačke 'WP'-a!"
_@M463_ "Nema svih"
_@M464_ "Nema glajdera"
_@M465_ "Nema domaće tačke gde ići!"
_@M466_ "NEMAM PODATAKS!"
_@M467_ "Nema zadatka za učitavanje"
_@M468_ "Nema zadatka"
_@M469_ "Nema upozorenja"
_@M470_ "Nema podataka"
_@M471_ "Nema položaja"
_@M472_ "Nema glajdera"
_@M473_ "Bez sletanja"
_@M474_ "Let.dnevnik nije konektovan"
#475 unused since 3.1i
_@M475_ "Bez preklapanja"
_@M476_ "Nema zadatka"
_@M477_ "Nema validne putanje"
_@M478_ "Nije selektovana tačka 'WP' fajla, nemoguće snimanje."
_@M479_ "Prazno"
_@M480_ "Normalno"
_@M481_ "Pametni sever/Preuređeni sever"
_@M482_ "Sever kruženje/Napred krstar.kruženje"
_@M483_ "Sever gore/Sever je gore napred"
_@M484_ "Sever/Zapis-Naped krstar.kruženje"
_@M485_ "Sever gore iznad "
_@M486_ "Nema memorije za tačku 'WP'"
_@M487_ "Broj: "
_@M488_ "Brojevi"
_@M489_ "ISKLj. (G)"
_@M490_ "ISKLj. (nema G)"
_@M491_ "ISKLj."
_@M492_ "OK za deklaraciju netačnih podataka?"
_@M493_ "OLC Pravila"
_@M494_ "UKLjU. (G)"
_@M495_ "UKLjU. (nema G)"
_@M496_ "Uklјu./Popravka"
_@M497_ "Uklјu./Uvećano"
_@M498_ "IZVAN (Enter)"
_@M499_ "Isklј."
_@M500_ "OnLine takmičenje"
_@M501_ "Online takmičenje "
_@M502_ "Samo LKMaps mogu biti konfigurisane, IZVINI :("
_@M503_ "Operacija sprečena na CLUB uređaju"
_@M504_ "Optimizuj"
_@M505_ "Narandžasto"
_@M506_ "Orjentisana "
_@M507_ "Ostali"
_@M508_ "Dopuna boje "
_@M509_ "Prepisan profil?"
_@M510_ "Prepisivanje?"
_@M511_ "PC/normalno"
_@M512_ "PDA/normalno"
_@M513_ "PG/HG Vreme kapije"
_@M514_ "NAPAJANјE ISKLjUČENO"
_@M515_ "NAPAJANјE UKLjUČENO"
_@M516_ "PROFIL"
_@M517_ "Stranica nazad"
_@M518_ "Marker u centar"
_@M519_ "Panorama okidača"
_@M520_ "Paraglajder/Zmaj"
_@M521_ "Nalepi"
_@M522_ "Petrol"
_@M523_ "Sakuplјač"
_@M524_ "Ime pilota"
_@M525_ "Ime pilota: "
_@M526_ "Nagib"
_@M527_ "Molimo Vas da napustite LK8000 i ponovo pokrenete TLK\n"
_@M528_ "Fajl polare "
_@M529_ "Spisak"
_@M530_ "PORT "
_@M531_ "Pritisak "
_@M532_ "Profil" "
_@M533_ "Profil već postoji"
_@M534_ "Profil učitan!"
_@M535_ "Profil snimlјen!"
_@M536_ "Zabranjeno polјe"
_@M537_ "Zabranjeno"
_@M538_ "Ponovo pokretanje svih PORTOVA"
_@M539_ "PON.POKRETANјE"
_@M540_ "RX NIZ nije okončan!"
_@M541_ "Radijalan"
_@M542_ "Staza "
_@M543_ "Oblast"
_@M544_ "Vrednost"
_@M545_ "Osveženje"
_@M546_ "Realan azimut "
_@M547_ "Real.azimut "
_@M548_ "Preostala udalјenost"
_@M549_ "Preostalo vreme"
_@M550_ "Ukloniti tačku 'WP'"
_@M551_ "Ukloniti aktivnu tačku 'WP'?"
_@M552_ "Ukloniti iz zadatka"
_@M553_ "Ukloniti"
_@M554_ "Promeniti"
_@M555_ "Zameniti u zadatku"
_@M556_ "Vrać.podraz.vrednosti"
_@M557_ "Vraćanje QFE?"
_@M558_ "Vraćanje i pon.pokretanje COM\nPortova?"
_@M559_ "Vraćanje 0=QFE"
_@M560_ "Vraćanje"
_@M561_ "Ponovo pokrenite LK8000 za primenu promene"
_@M562_ "Vraćanje na zadatak"
_@M563_ "Vraćanje zadatka?"
_@M564_ "Oblast sa zabranom"
_@M565_ "Ograničeno"
_@M566_ "Ponovo"
_@M567_ "Zelena strelica"
_@M568_ "Desno "
_@M569_ "SIM"
_@M570_ "Simulac."
_@M571_ "START"
# 572 REMOVED after v2.3
_@M572_ "STF rizični faktor"
_@M573_ "ZAUSTAVI PRAŽNјENјE"
_@M574_ "Sigurni Mc "
_@M575_ "Sigurni visinski mod "
_@M576_ "Bezbedna visina "
_@M577_ "Bezbedno zaključav. "
_@M578_ "Satelit u pogledu"
_@M579_ "SNIMI ?"
_@M580_ "SNIMI KAO..."
_@M581_ "Snimi promene u fajl tačke 'WP'?"
_@M582_ "Snimi odmah"
_@M583_ "Snimi"
_@M584_ "Rezultat"
_@M585_ "Podaci ekrana "
_@M586_ "Sektor. radius "
_@M587_ "Sektor. radius"
_@M588_ "Tip sektora "
_@M589_ "Tip sektora"
_@M590_ "Sektor"
_@M591_ "Izbor vazd.prostora"
_@M592_ "Izabrana tačka 'WP'"
_@M593_ "Izabrana boja"
_@M594_ "Izabrani šablon"
_@M595_ "Izaberi"
_@M596_ "Način Beleženja "
_@M597_ "Podeš. alternative 1"
_@M598_ "Podeš. alternative 2"
_@M599_ "Podeš. prijatelјskog koda"
_@M600_ "Podeš. prijatelјskog koda "
_@M601_ "Podeš. MacCready"
_@M602_ "Podesi kao alternativa 1"
_@M603_ "Podesi kao alternativa 2"
_@M604_ "Podesi kao timsku refer."
_@M605_ "Podesi kao novu KUĆU"
_@M606_ "Podeš. okvira"
_@M607_ "Podeš. brzine podsećanja"
_@M608_ "Podešavanje..."
_@M609_ "Senka"
_@M610_ "Senčenje "
_@M611_ "Kratko ime fajla "
_@M612_ "Kratko"
_@M613_ "Prikaz vazd.prost.ISKLj."
_@M614_ "Prikaz vazd.prost.UKLjU."
_@M615_ "Prikaz SAT-a "
_@M616_ "ZNATNA PROMENA VETRA"
_@M617_ "Mali gradovi "
_@M618_ "Mali putevi "
_@M619_ "Varošice "
_@M620_ "Lenja staza ISKLj."
_@M621_ "Lenja staza UKLjU. Kompletna"
_@M622_ "Lenja staza UKLjU. Dugačka"
_@M623_ "Lenja staza UKLjU. Kratka"
_@M624_ "Zvuk ISKLj."
_@M625_ "Zvuk UKLjU."
_@M626_ "Sp "
_@M627_ "Brzina "
_@M628_ "Athivirana brzinu"
_@M629_ "Prosečna brzina"
_@M630_ "Procenjena brzina"
_@M631_ "Zapamćena brzina"
_@M632_ "Brzina"
# 633 UNUSED after v2.3
_@M633_ "Trčanje"
# 634 UNUSED after v2.3
_@M634_ "Standard"
_@M635_ "Start "
_@M636_ "Start u svakom slučaju"
_@M637_ "Start Let.dnevnika"
_@M638_ "Startna visina"
_@M639_ "Start refe.visina "
_@M640_ "Start refe.visine"
_@M641_ "Start maksi.visine "
_@M642_ "Start maksi.visine"
_@M643_ "Start maksi.brzine "
_@M644_ "Start maksi.brzine"
_@M645_ "Start maks.h.marg. "
_@M646_ "Start maks.sp.marg. "
_@M647_ "Startna tačka"
_@M648_ "Startni radial"
_@M649_ "Startni radius "
_@M650_ "Startni radius"
_@M651_ "Prekršeno startno PRAVILO"
_@M652_ "Prekrš.startno pravilo\r\n ali u ivicama"
_@M653_ "Startna brzina"
_@M654_ "Startno vreme"
_@M655_ "Startni tip "
_@M656_ "Startni tip"
_@M657_ "Start"
_@M658_ "Statistički ekran"
_@M659_ "Statusna poruka "
_@M660_ "Status"
_@M661_ "Status: Vazduhoplova"
_@M662_ "Status: Spolјnj.Uređaja"
_@M663_ "Status: Pravila"
_@M664_ "Status: Sistema"
_@M665_ "Status: Zadatka"
_@M666_ "Status: Vremena"
_@M667_ "Statut"
_@M668_ "Miran"
_@M669_ "Prekid Let.Dnevnika"
_@M670_ "Prekid"
_@M671_ "Ѕalazak sunca"
_@M672_ "Napon baterije"
_@M673_ "Status sistema"
_@M674_ "CILj PONOVO VIDLjIV"
_@M675_ "CILj ZAKLjUČAN"
_@M676_ "PONOVO POKRETANјE ZADATKA"
_@M677_ "TAČNO"
_@M678_ "OKRENI SE"
_@M679_ "Tab"
_@M680_ "Vreme poletanja"
_@M681_ "Cilјna brzina"
_@M682_ "Cilј gore sa kruženjem"
_@M683_ "Cilј zaklјučan"
_@M684_ "Cilј"
_@M685_ "Računanje zadatka"
_@M686_ "Zadatak objavlјen!"
_@M687_ "Zadatak završen"
_@M688_ "Pregled zadatka"
_@M689_ "Tačka zadatka"
_@M690_ "Pravilo zadatka"
_@M691_ "Brzina zadatka "
_@M692_ "Početak zadatka"
_@M693_ "Status zadatka"
_@M694_ "Zadatak objavlјen"
_@M695_ "Udalјenost zadatka"
_@M696_ "Fajl sa zadatkom već POSTOJI"
_@M697_ "Brzina zadatka"
_@M698_ "Doći do zadatka"
_@M699_ "Zadatak"
_@M700_ "Timski kod"
_@M701_ "Privremena putanja"
_@M702_ "Osvetlјenje terena "
_@M703_ "Boja terena "
_@M704_ "Kontrast terena "
_@M705_ "Ekran terena "
_@M706_ "Fajl terena "
_@M707_ "Visina terena "
_@M708_ "Teren"
_@M709_ "Teren\n ISKLj."
# 710 REMOVED in v2.3
_@M710_ "Unosni stil teksta "
_@M711_ "Tekst:"
_@M712_ "Termički panel "
_@M713_ "Termička putanja "
_@M714_ "Visina termala"
_@M715_ "Lokator termala "
_@M716_ "Izabrana tačka 'WP' je samo za čitanje"
_@M717_ "Vreme "
_@M718_ "Vreme period kruženja "
_@M719_ "Vreme period krstarenja "
_@M720_ "Vreme"
_@M721_ "Timing "
_@M722_ "Poluga Mape<>Zajednicki"
_@M723_ "Poluga Mape<>Sletiste"
_@M724_ "Poluga Mape<>Saobracaj"
_@M725_ "Poluga Mape<>trenutna stranica"
_@M726_ "Poluga dometa"
_@M727_ "Previše tačaka 'WP' u zadatku!"
_@M728_ "Gornji ekran"
_@M729_ "Vrh"
_@M730_ "Gore levo"
_@M731_ "Nivo povećanja topologije"
_@M732_ "Snimlјena podešavanja topologije"
_@M733_ "Ekran topologije "
_@M734_ "Etikete topologije"
_@M735_ "Ukupno:"
_@M736_ "Linija zapisa "
_@M737_ "Zapis gore - Pravac kretanja napred"
_@M738_ "Saobraćaj"
_@M739_ "Crta.puta "
_@M740_ "Dužina puta "
_@M741_ "Širina puta "
# 742 UNUSED after v2.3
_@M742_ "Trougao"
_@M743_ "Ispravan Tip"
