# LK8000 NEDERLANDS MESSAGES - NED_MSG.TXT
# MASTER UPDATED:  121005
# Version: February 2013
# This file is loaded on startup and all messages are stored internally.
# If you are translating these messages, try to respect sizes.
# The first _@Mn_  are the indexes, and you cannot change them!
#
# Please note that ENG_MSG.TXT is the english master language for LK8000
# and it should always exist. Do not change ENG_MSG.TXT!
#
# ATTENTION> Max number of tokens is defined in LKLanguage as MAX_MESSAGES
#
# If you add messages, as a developer, do not recycle numbers, because translations assume
# that a nonexisting token should be replaced by the english original.
# But if a old token was translated, it will still appear like that, wrong!
#
# All lines that are empty, or starting with a # , are ignored.
# DEVELOPERS ADDING NEW MESSAGES HERE SHOULD REQUEST A NUMBERING SLOT ON GITHUB

_@M1_ " Diff"
_@M95_ "Toevoegen aan taak"
_@M96_ "Activeer start"
_@M97_ "Activeer"
_@M98_ "Aankomsthoogte"
# 99 REMOVED after v2.3
_@M99_ "Pijl kop"
_@M100_ "Vraag"
_@M101_ "Toegewezen opdracht tijd"
_@M102_ "Autom verder: Geactiveerd"
_@M103_ "Autom verder: Automatisch"
_@M104_ "Autom verder: Gedeactiveerd"
_@M105_ "Autom verder: Handmatig"
_@M106_ "Autom achtergrondverlichting "
_@M107_ "Autom Final Glide "
_@M108_ "Autom Final Glide activeren "
_@M109_ "Autom Mc modus "
_@M110_ "Autom geluidsvolume "
_@M111_ "Autom verder "
_@M112_ "Autom verder"
_@M113_ "Autom logger "
_@M114_ "Autom wind "
_@M115_ "Autom zoom "
_@M116_ "Gemiddelde klim"
_@M117_ "Gem stijgssnelheid"
_@M118_ "Gemiddelde klim"
_@M119_ "BACKUP VOEDING AAN"
_@M120_ "BARO HOOGTE BESCHIKBAAR"
_@M121_ "BARO HOOGTE NIET BESCHIKBAAR"
_@M122_ "BARO HOOGTE NIET BESCHIKBAAR, GEBRUIKT GPS HOOGTE"
_@M123_ "BATTERIJ 100% OPGELADEN"
_@M124_ "BATTERIJ WORDT OPGELADEN"
_@M125_ "Ballast "
_@M126_ "Ballast dump tijd "
_@M127_ "Barogram"
_@M128_ "Basis"
_@M129_ "Basis instelling"
_@M130_ "Basis Setup menu"
_@M131_ "Basis"
_@M132_ "Batt.1 Volt"
_@M133_ "Batt.2 Volt"
_@M134_ "Batterijbank"
_@M135_ "Baudrate "
_@M136_ "Koers  "
_@M137_ "Koers "
_@M138_ "Koers"
_@M139_ "Beneden"
_@M140_ "Beste glijgetal"
_@M141_ "Beste Alternatief Waarschuwing "
_@M142_ "Grote steden "
_@M143_ "Grote wegen "
_@M144_ "Zwart"
_@M145_ "Leeg!"
# 146 REMOVED after v2.3
_@M146_ "Te vliegen blok snelheid "
_@M147_ "Zeeblauw"
_@M148_ "Beide (Fin+Ave)"
_@M149_ "Beide"
_@M150_ "Onderste balk "
_@M151_ "Box"
_@M152_ "Boxed, zonder eenheden"
_@M153_ "Boxed, met eenheden"
_@M154_ "Brg"
_@M155_ "CHECK veiligheidsaankomsthoogte\n"
_@M156_ "SLUIT"
_@M157_ "GESLOTEN"
_@M158_ "Bevestig GOTO, Opdracht afbreken?"
_@M159_ "Bevestig goto, Opdracht afbreken?"
_@M160_ "Bereken"
_@M161_ "Annuleer"
_@M162_ "Kan niet herschrijven!"
#M163 unused, changed to CarTrek
_@M163_ "Auto"
_@M164_ "Categorie "
_@M165_ "Plaffond trend"
_@M166_ "Centrum "
_@M167_ "Centrum"
_@M168_ "Veranderde instellingen zijn opgeslagen."
_@M169_ "Gekozen keerpunt niet in huidige opdracht."
_@M170_ "Therm.zoom waarde "
_@M171_ "Cirkel radius"
_@M172_ "Thermiek Zoom UIT"
_@M173_ "Thermiek Zoom AAN"
_@M174_ "Thermiek zoom "
_@M175_ "Thermieken"
# 176 UNUSED after v2.3
_@M176_ "Klassiek"
_@M177_ "Verwijder alternatieven"
_@M178_ "Verwijder opdracht"
_@M179_ "Verwijder de opdracht?"
_@M180_ "Verwijder"
_@M181_ "Klimsnelheid"
_@M182_ "Klim"
_@M183_ "Doorsnede-hoogte "
_@M184_ "Doorsnede"
_@M185_ "Sluit "
_@M186_ "Sluit"
_@M187_ "Wolkenbasis"
_@M188_ "Code"
_@M189_ "Kleuren"
_@M190_ "Opmerking"
_@M191_ "Opmerking: "
_@M192_ "Gemeenschappelijken"
_@M193_ "Comms met Volkslogger"
_@M194_ "CompeGPS keerpunt"
_@M195_ "Configuratie"
_@M196_ "Configureer Custom Keys"
_@M197_ "Configureer Topografie"
_@M198_ "Wilt u echt stoppen?"
_@M199_ "Verbonden"
_@M200_ "Kopieer"
_@M201_ "Kan IGC bestand niet openen!"
_@M202_ "Kruis Zoom "
_@M203_ "Kruis efficientie"
_@M204_ "Huidige positie geupdate"
_@M205_ "Custom Keys"
_@M206_ "Aangepast polaire bestand "
_@M207_ "Custom Keys configuratie opgeslagen"
_@M208_ "Aangepast lettertype"
_@M209_ "Cyaan"
_@M210_ "Cilinder"
_@M211_ "DAT Keerpunten"
_@M212_ "DUMP BALLAST"
_@M213_ "Gevarenzone"
_@M214_ "Gevarenzones"
_@M215_ "Donkergrijs"
_@M216_ "Donkerwit"
_@M217_ "Donkergrijs"
_@M218_ "Donkerblauw"
_@M219_ "Datum"
_@M220_ "Debounce tijd "
_@M221_ "Opdracht declareren?"
_@M222_ "Declareren"
_@M223_ "Gedeclareerd"
_@M224_ "Declutter land.velden "
_@M225_ "Declutter keerpunten "
_@M226_ "Standaard zoom"
_@M227_ "Standaard"
_@M228_ "Del"
_@M229_ "Verwijder keepunt?"
_@M230_ "Verwijder"
_@M231_ "Details"
_@M232_ "Apparaat A"
_@M233_ "Apparaat B"
_@M234_ "Apparaat model "
_@M235_ "Dialoogvensters"
_@M236_ "Rechtstreeks naar"
_@M237_ "Richting "
_@M238_ "Richting"
_@M239_ "Uitgeschakeld"
_@M240_ "Losgekoppeld"
_@M241_ "Zichtbaar"
_@M242_ "Afstand te gaan"
_@M243_ "Afstand  "
_@M244_ "Afstand "
_@M245_ "Afstand"
_@M246_ "Dump tijd "
_@M247_ "ETE"
_@M248_ "STOP"
_@M249_ "Bewerk lettertype"
_@M250_ "Bewerk start punten"
_@M251_ "Bewerk tekst"
_@M252_ "Bewerk"
_@M253_ "Efficientie "
_@M254_ "EfficiencyReq"
_@M255_ "Hoogte"
_@M256_ "Smaragd groen"
_@M257_ "Standaard kaartkleur "
_@M258_ "Schakel in"
_@M259_ "Ingeschakeled"
_@M260_ "Engineering Menu*"
_@M261_ "Vul nummer in"
_@M262_ "Equivalente MC"
_@M263_ "FOUT bij opslaan opdracht!"
_@M264_ "FOUT in  opdracht bestand!"
_@M265_ "FOUT! Opdracht niet gedeclareerd!"
_@M266_ "FOUT"
_@M267_ "Verwachte opdrachttijd"
_@M268_ "Events "
_@M269_ "Niet gebruiken"
_@M270_ "Verwacht vroege opdrachtaankomst"
_@M271_ "Expert"
_@M272_ "Verlengd VisualGlide"
_@M273_ "Verlengd"
_@M274_ "FAI Sector"
_@M275_ "FAI finish hoogte "
_@M276_ "FAI finish hoogte"
_@M277_ "Terugval m.b.v. GPS op poort"
_@M278_ "ONJUIST"
_@M279_ "FLARM GEDETECTEERD"
_@M280_ "FLARM on map "
_@M281_ "START"
_@M282_ "Veld"
_@M283_ "Bestandsbrowser"
_@M284_ "Bestandstype"
_@M285_ "Bestand"
_@M286_ "Filter"
_@M287_ "Filter..."
_@M288_ "Final glide automatisch"
_@M289_ "Activeer Final glide"
_@M290_ "Final glide"
_@M291_ "Finish min hoogte"
_@M292_ "Finish min hoogte "
_@M293_ "Finish min hoogte"
_@M294_ "Finish radiaal"
_@M295_ "Finish radius "
_@M296_ "Finish radius"
_@M297_ "Finish type "
_@M298_ "Finish type"
_@M299_ "Finish"
_@M300_ "Gefinished"
_@M301_ "Eerste 3"
_@M302_ "Eerste 5"
_@M303_ "Geldige GPS-Fix"
_@M304_ "Bepaald"
_@M305_ "Vlucht afspelen"
_@M306_ "Vluchttijd"
_@M307_ "Vrij"
_@M308_ "Freq"
_@M309_ "Vriend code"
# 310 REMOVED after v2.3
_@M310_ "Volledige pijl"
_@M311_ "Volledige overlay"
_@M312_ "Volledig"
_@M313_ "GA Vliegtuig"
_@M314_ "POORT OPEN"
_@M315_ "Poort"
_@M316_ "POORTEN GESLOTEN"
_@M317_ "GOING SILENT ON COM REPORTING"
_@M318_ "GPS Hoogte.compensatie "
_@M319_ "GPS lock"
_@M320_ "Poort interval "
_@M321_ "Instrumenten"
_@M322_ "Geoid hoogte "
_@M323_ "Geest "
_@M324_ "Glide Bar indicator "
_@M325_ "Polaire"
_@M326_ "Glijbereik lijn "
_@M327_ "Positie Zweefvliegtuig "
_@M328_ "Zweefvliegtuig"
_@M329_ "Ga naar huis"
_@M330_ "Ga naar"
_@M331_ "Groen"
_@M332_ "Grijs"
_@M333_ "Halve overlay"
_@M334_ "Handicap "
_@M335_ "Hoogte"
_@M336_ "Help"
_@M337_ "Verberg eenheden "
_@M338_ "Hoge Alpen"
_@M339_ "Hoog"
_@M340_ "Hoog Contrast"
# 341 REMOVED after v2.3
_@M341_ "HighScore Stijl"
# 342 UNUSED after v2.3
_@M342_ "Hoger"
_@M343_ "IN (Uitgaand)"
_@M344_ "INACCURATE RICHTING OF WIND TE STERK"
_@M345_ "ONGELDIGE SNELHEID"
_@M346_ "IPhone bewegingen "
_@M347_ "IS OPEN"
_@M348_ "Icoon "
_@M349_ "Negeer"
_@M350_ "Gebruiken"
_@M351_ "Info box titels"
# 352 REMOVED after v2.3
_@M352_ "Info box kleine waardes"
_@M353_ "Info box waardes"
_@M354_ "InfoBox plakken"
# 355 REMOVED after v2.3
_@M355_ "Infobox geometrie"
_@M356_ "Informatie"
_@M357_ "Keerpunt toevoegen"
_@M358_ "Toevoegen in opdracht"
_@M359_ "Binnen"
_@M360_ "Ongeldig oud opdracht formaat!"
_@M361_ "Omkeren z/w kleuren "
_@M362_ "Omgekeerde kleuren "
_@M363_ "Keer kleuren om"
_@M364_ "Omgekeerd"
_@M365_ "cursief"
_@M366_ "HOUD DE SNELHEID LANGER CONSTANT"
_@M367_ "HOUD KOERS LANGER VAST"
_@M368_ "HOUD SNELHEID EN KOERS LANGER VAST"
_@M369_ "HOUD SNELHEID LANGER SVP"
# 370 REMOVED after v2.3
_@M370_ "Toetsenbord"
_@M371_ "L/D Gemiddeld periode "
_@M372_ "LAATSTE POORT IS OPEN"
_@M373_ "LCD donkergroen"
_@M374_ "LCD groen"
_@M375_ "Systeem Profielen"
_@M376_ "LK8000 Verkeer"
_@M377_ "LKoogle lagelanden"
_@M378_ "LKoogle bergen"
_@M379_ "Labels "
_@M380_ "Landables en keerpunten"
_@M381_ "Landables icoon "
_@M382_ "Alleen Landables"
_@M383_ "Landables stijl "
_@M384_ "Landbaar waarde "
_@M385_ "Landbaar"
_@M386_ "Landingstijd"
_@M387_ "Taal "
_@M388_ "Links "
# 389 UNUSED after v2.3
_@M389_ "Minder"
_@M390_ "Lift "
_@M391_ "Lichtgroen"
_@M392_ "Lichtgrijs"
_@M393_ "Lijn"
_@M394_ "Live "
_@M395_ "Toch laden?"
_@M396_ "Laad opdracht"
_@M397_ "Laad dit profiel?"
_@M398_ "Laad"
_@M399_ "Laden luchtruim bestanden..."
_@M400_ "Laden keerpunt notitie bestand..."
_@M401_ "Locale tijd "
_@M402_ "Locale tijd"
_@M403_ "Gelocked"
_@M404_ "Logger Fout"
_@M405_ "Logger ID"
_@M406_ "Logger ID: "
_@M407_ "Logger terugspelen"
_@M408_ "Logger inactief, te weinig geheugen!"#######################################3
_@M409_ "Logger"
_@M410_ "Lang"
_@M411_ "Database"
_@M412_ "Lage Alpen"
_@M413_ "Lagelanden"
_@M414_ "Laag"
 415 UNUSED after v2.3
_@M415_ "Lager"
_@M416_ "MacCready waarde "
_@M417_ "Magenta"
_@M418_ "Handmatig"
# 419 no more used after 2.3
_@M419_ "Kaart vergrendeling "
_@M420_ "Kaart-bestand "
_@M421_ "Map labels UIT"
_@M422_ "Map labels AAN"
_@M423_ "Map labels TOPO"
_@M424_ "Kaart keerpunten"
_@M425_ "Marge "
_@M426_ "Markeer Locatie"
_@M427_ "Markeer centrum"
_@M428_ "Max Temp "
_@M429_ "Max hoogtewinst"
_@M430_ "Max labels "
_@M431_ "Gemiddelde steden "
_@M432_ "Gemiddelde wegen "
_@M433_ "Gemiddeld"
_@M434_ "Menu time-out "
_@M435_ "Menu"
_@M436_ "Metrisch"
_@M437_ "Min dalen"
 438 UNUSED after v2.3
_@M438_ "Meer"
_@M439_ "Bergachtig"
_@M440_ "Verplaats omlaag"
_@M441_ "Verplaats naar boven"
_@M442_ "Verplaats keerp omlaag"
_@M443_ "Verplaats keerp omhoog"
_@M444_ "Verplaats"
_@M445_ "Verplaatsend"
# 446 REMOVED after v2.3
_@M446_ "Berichtenscherm"
_@M447_ "Multidoel menu"
_@M448_ "Multidoel roteer"
_@M449_ "NMEA Check"
_@M450_ "Naam "
_@M451_ "Naam"
_@M452_ "Naam: "
_@M453_ "Namen in opdracht"
_@M454_ "Namen"
_@M455_ "Nautische"
_@M456_ "Nabij"
_@M457_ "Nieuw Keerpunt"
_@M458_ "Nieuw profiel"
_@M459_ "Nieuw"
_@M460_ "Volgende\n>"
_@M461_ "Volgende keerpunt"
_@M462_ "Geen Actief Keerpunt!"
_@M463_ "Niet alle"
_@M464_ "Geen Zweefvliegtuig"
_@M465_ "Geen Thuis om naar te gaan!"
_@M466_ "Geen resultaten gevonden!"
_@M467_ "Geen Opdracht om te laden"
_@M468_ "Geen Opdracht"
_@M469_ "Geen waarschuwingen"
_@M470_ "Geen data"
_@M471_ "Geen fix"
_@M472_ "Geen gliders"
_@M473_ "Geen Landables"
_@M474_ "Geen logger aangesloten"
#475 unused since 3.1i
_@M475_ "Geen overlay"
_@M476_ "Geen opdracht"
_@M477_ "Ongeldig pad"
_@M478_ "Geen keerpuntbestand geselecteerd, kan niet opslaan."
_@M479_ "Geen"
_@M480_ "Normaal"
_@M481_ "Noord Slim"
_@M482_ "Noord Thermiek"
_@M483_ "Noord Boven"
_@M484_ "Noord/Koers"
_@M485_ "Noordboven vanaf "
_@M486_ "Niet genoeg geheugen voor keerpunten"
_@M487_ "Nummer: "
_@M488_ "Nummers"
_@M489_ "UIT (G)"
_@M490_ "UIT (no G)"
_@M491_ "UIT"
_@M492_ "Ongeldige declaratie OK?"
_@M493_ "OLC Regels"
_@M494_ "AAN (G)"
_@M495_ "AAN (Geen G)"
_@M496_ "AAN/Vast"
_@M497_ "AAN/Geschaald"
_@M498_ "UIT (Binnenkomen)"
_@M499_ "Uit"
_@M500_ "OnLine Contest"
_@M501_ "Online contest "
_@M502_ "Alleen LKMaps kunnen geconfigureerd worden, sorry!"
_@M503_ "Werking verboden op Club-apparaten"
_@M504_ "Optimaliseer"
_@M505_ "Oranje"
_@M506_ "Orientatie "
_@M507_ "Andere"
_@M508_ "Overlays kleur "
_@M509_ "Profiel overschrijven?"
_@M510_ "Overschrijven?"
_@M511_ "PC/normaal"
_@M512_ "PDA/normaal"
_@M513_ "PG/Delta Tijd poorten"
_@M514_ "VOEDING UIT"
_@M515_ "VOEDING AAN"
_@M516_ "PROFIEL"
_@M517_ "Pagina terug"
_@M518_ "Pan naar center"
_@M519_ "Panorama trigger"
_@M520_ "Paraglider/Delta"
_@M521_ "Plakken"
_@M522_ "Benzine"
_@M523_ "Picker"
_@M524_ "Naam piloot"
_@M525_ "Naam piloot: "
_@M526_ "Helling"
_@M527_ "Sluit LK8000 en reset je apparaat, s.v.p.\n"
_@M528_ "Polaire bestand "
_@M529_ "Polling"
_@M530_ "Poort "
_@M531_ "Luchtdruk "
_@M532_ "Profiel "
_@M533_ "Profiel bestaat al"
_@M534_ "Profiel geladen!"
_@M535_ "Profiel opgeslagen!"
_@M536_ "Prohibited gebieden"
_@M537_ "Prohibited"
_@M538_ "RESET ALLE COM POORTEN"
_@M539_ "HERSTART"
_@M540_ "RX transmissie niet beeïndigd!"
_@M541_ "Radiaal"
_@M542_ "Spoor "
_@M543_ "Bereik"
_@M544_ "Snelheid" # rate
_@M545_ "Herlaad"
_@M546_ "Rel. koers "
_@M547_ "Rel.koers "
_@M548_ "Resterende afstand"
_@M549_ "Resterende tijd"
_@M550_ "Verwijder keerpunt"
_@M551_ "Verdijder actief keerpunt?"
_@M552_ "Verwijder uit opdracht"
_@M553_ "Verwijder"
_@M554_ "Hernoem"
_@M555_ "Herplaats in opdracht"
_@M556_ "Reset Standaard"
_@M557_ "Reset QFE?"
_@M558_ "Reset en herstart COM poorten?"
_@M559_ "Reset QFE naar 0"
_@M560_ "Reset"
_@M561_ "Herstart LK8000 om wijzigingen toe te passen."
_@M562_ "Herstart opdracht"
_@M563_ "Herstart opdracht?"
_@M564_ "Restricted gebied"
_@M565_ "Restricted"
_@M566_ "Probeer omnieuw"
_@M567_ "Geweergrijs"
_@M568_ "Rechts "
_@M569_ "SIM"
_@M570_ "SIMULEER"
_@M571_ "START"
# 572 REMOVED after v2.3
_@M572_ "Veiligheidsrisico factor"
_@M573_ "STOP DUMPEN"
_@M574_ "Veiligheids Mc "
_@M575_ "Veiligheids hoogte modus "
_@M576_ "Veiligheidshoogte "
_@M577_ "Veiligheidsslot "
_@M578_ "Satellieten in zicht"
_@M579_ "Opslaan ?"
_@M580_ "Opslaan"
_@M581_ "Veranderingen in keerpuntenbestand opslaan?"
_@M582_ "Opslaan als ..."
_@M583_ "Opslaan"
_@M584_ "Score"
_@M585_ "Scherm Data "
_@M586_ "Sector radius "
_@M587_ "Sector radius"
_@M588_ "Sector type "
_@M589_ "Sector type"
_@M590_ "Sector"
_@M591_ "Selecteer Luchtruim"
_@M592_ "Selecteer Keerpunt"
_@M593_ "Selecteer kleur"
_@M594_ "Selecteer patroon"
_@M595_ "Selecteer"
_@M596_ "Seriele modus "
_@M597_ "Selecteer Alternatief 1"
_@M598_ "Selecteer Alternatief 2"
_@M599_ "Selecteer Vriend Code"
_@M600_ "Selecteer Vriend code "
_@M601_ "Selecteer MacCready"
_@M602_ "Selecteer als Alternatief 1"
_@M603_ "Selecteer als Alternatief 2"
_@M604_ "Selecteer als Team Ref."
_@M605_ "Selecteer als nieuw Thuis"
_@M606_ "Selecteer bereik"
_@M607_ "Selecteer resterende snelheid"
_@M608_ "Setup ..."
_@M609_ "Schaduw"
_@M610_ "Schaduw "
_@M611_ "Korte bestandsnaam "
_@M612_ "Kort"
_@M613_ "Laat luchtruim niet zien"
_@M614_ "Laat luchtruim zien"
_@M615_ "Laat klok zien "
_@M616_ "Significante wind verandering"
_@M617_ "Kleine steden "
_@M618_ "Kleine wegen "
_@M619_ "Kleinere steden "
_@M620_ "Spoor UIT"
_@M621_ "Spoor AAN volledig"
_@M622_ "Spoor AAN lang"
_@M623_ "Spoor AAN kort"
_@M624_ "Geluiden UIT"
_@M625_ "Geluiden AAN"
_@M626_ "Sn "
_@M627_ "Snelheid "
_@M628_ "Snelheid bereikt"
_@M629_ "Snelheid gemiddeld"
_@M630_ "Snelheid geschat"
_@M631_ "Snelheid resterend"
_@M632_ "Snelheid"
# 633 UNUSED after v2.3
_@M633_ "Sprint"
 634 UNUSED after v2.3
_@M634_ "Standaard"
_@M635_ "Start "
_@M636_ "Start sowieso"
_@M637_ "Start Logger"
_@M638_ "Start hoogte"
_@M639_ "Start hoogte ref "
_@M640_ "Start hoogte ref"
_@M641_ "Start max hoogte "
_@M642_ "Start max hoogte"
_@M643_ "Start max snelheid "
_@M644_ "Max startsnelheid"
_@M645_ "Max starthoogte marge "
_@M646_ "Max startsnelheid marge "
_@M647_ "Start punt"
_@M648_ "Start radiaal"
_@M649_ "Start radius "
_@M650_ "Start radius"
_@M651_ "Start regels geschonden"
_@M652_ "Start regels geschonden\r\nmaar binnen marge"
_@M653_ "Start snelheid"
_@M654_ "Start tijd"
_@M655_ "Start type "
_@M656_ "Start type"
_@M657_ "Start"
_@M658_ "Statistiek schermen"
_@M659_ "Status bericht "
_@M660_ "Status"
_@M661_ "Status: Vliegtuig"
_@M662_ "Status: Ext.Apparaat"
_@M663_ "Status: Regels"
_@M664_ "Status: Systeem"
_@M665_ "Status: Opdracht"
_@M666_ "Status: Tijden"
_@M667_ "Statuut"
_@M668_ "Constant"
_@M669_ "Stop Logger"
_@M670_ "Stop"
_@M671_ "Zonsondergang"
_@M672_ "Voedingsspanning"
_@M673_ "Systeem Status"
_@M674_ "DOEL ACHTER ZICHTBAAR"
_@M675_ "DOEL GELOCKED"
_@M676_ "OPDRACHT HERSTART"
_@M677_ "WAAR"
_@M678_ "DRAAI"
_@M679_ "Tab"
_@M680_ "Vertrektijd"
_@M681_ "Doel Snelheid"
_@M682_ "Doel Thermiek"
_@M683_ "Doel gelocked"
_@M684_ "Doel"
_@M685_ "Opdracht Berekenen"
_@M686_ "Opdracht gedeclareerd!"
_@M687_ "Opdracht FINISH"
_@M688_ "Opdracht Overzicht"
_@M689_ "Opdracht Punt"
_@M690_ "Opdracht Regels"
_@M691_ "Opdracht Snelheid "
_@M692_ "Opdracht Start"
_@M693_ "Opdracht Status"
_@M694_ "Opdracht gedeclareerd"
_@M695_ "Opdracht afstand"
_@M696_ "Opdracht bestand bestaad al"
_@M697_ "Opdracht snelheid"
_@M698_ "Opdracht te gaan"
_@M699_ "Opdracht"
_@M700_ "Team code"
_@M701_ "Temp spoor"
_@M702_ "Terrein helderheid "
_@M703_ "Terrein kleuren "
_@M704_ "Terrein contrast "
_@M705_ "Terrein weergave "
_@M706_ "Terrein bestand "
_@M707_ "Terrein hoogte "
_@M708_ "Terrein"
_@M709_ "Terrein\nUIT"
# 710 REMOVED in v2.3
_@M710_ "Tekst invoer stijl "
_@M711_ "Tekst:"
_@M712_ "Thermiek balk "
_@M713_ "Thermiek Orbiter "
_@M714_ "Thermiek hoogte"
_@M715_ "Thermiek locator "
_@M716_ "Dit keerpunt is alleen-lezen"
_@M717_ "Tijd "
_@M718_ "Tijd stap draaien "
_@M719_ "Tijd stap kruisen "
_@M720_ "Tijd"
_@M721_ "Timing "
_@M722_ "Schakelen Kaart<>Commons"
_@M723_ "Schakelen Kaart<>Landbaar"
_@M724_ "Schakelen Kaart<>Verkeer"
_@M725_ "Schakelen Kaart<>Huidige pagina"
_@M726_ "Schakelen overlays"
_@M727_ "Teveel keerpunten in opdracht!"
_@M728_ "Bovenin"
_@M729_ "Plafond"
_@M730_ "Bovenlinks"
_@M731_ "Topografie Zoom niveaus"
_@M732_ "Topografie configuratie opgeslagen."
_@M733_ "Topografie weergave "
_@M734_ "Topografie labels"
_@M735_ "Totaal:"
_@M736_ "Richtingslijn "
_@M737_ "Koers Boven"
_@M738_ "Verkeer"
_@M739_ "Spoor verwaaiing drift "
_@M740_ "Spoor lengte "
_@M741_ "Spoor breedte "
# 742 UNUSED after v2.3
_@M742_ "Driehoek"
_@M743_ "Ware Type"
_@M744_ "TrueWind IAS "
_@M745_ "TrueWind periode "
_@M746_ "TrueWind geupdate!"
_@M747_ "Starttijd opdracht "
_@M748_ "Opdracht tijd poorten "
_@M749_ "Keerpunt"
_@M750_ "Keerpunt filter "
_@M751_ "Type "
_@M752_ "Type"
_@M753_ "ONBEKEND! "
_@M754_ "UNLOCK"
_@M755_ "GEBRUIKT BESCHIKBARE BAROM HOOGTE"
_@M756_ "Gebruik BAROM-HOOGTE"
_@M757_ "Gebruik GPS-hoogte"
_@M758_ "UTC compensatie "
_@M759_ "Kan niet instell. veranderen op poort"
_@M760_ "Kan niet seriële poort timers instellen"
_@M761_ "Kan RX signaal niet starten op poort"
_@M762_ "Kan poort niet openen"
_@M763_ "Unboxed, geen eenheden"
_@M764_ "Unboxed, met eenheden"
_@M765_ "Onbekend"
_@M766_ "Gebruik GPS-tijd "
_@M767_ "Gebruik HBar aan/uit"
