# LK8000 CHINESE MESSAGES - CHN_MSG.TXT
# MASTER UPDATED:  191010 mountainhare山岭野兔(wx9019258QQ)_翻译
#
# 该文件在启动时加载，所有消息都存储在内部。
# 如果要翻译这些消息，请尝试遵守尺寸。
# 首先_ @ Mn_是索引，您不能更改它们！
#
# 请注意，ENG_MSG.TXT是LK8000的英语主要语言
# 它应该永远存在。 请勿更改ENG_MSG.TXT！
#
# 注意>令牌的最大数量在LKLanguage中定义为MAX_MESSAGES
#
# 如果您以开发人员的身份添加消息，请不要回收号码，因为翻译会假设
# 不存在的令牌应替换为英文。
# 但是，如果翻译了旧令牌，它仍然会像那样出现，这是错误的！
#
# 所有空行或以＃开头的行都将被忽略。
# 开发人员必须在GITHUB上要求添加新消息的编号槽

_@M1_ " 相对值"
_@M430_ "最多标签 "
_@M431_ "中型城市 "
_@M432_ "省道 "
_@M433_ "介质"
_@M434_ "菜单超时 "
_@M435_ "菜单"
_@M436_ "公制"
_@M437_ "最小水槽"
# 438 UNUSED after v2.3
_@M438_ "More"
_@M439_ "山区"
_@M440_ "下移"
_@M441_ "上移"
_@M442_ "向下移动WP"
_@M443_ "向上移动WP"
_@M444_ "移动"
_@M445_ "移动中"
# 446 REMOVED after v2.3
_@M446_ "Msg window"
_@M447_ "多选菜单"
_@M448_ "多选旋转"
_@M449_ "NMEA校验和 "
_@M450_ "名称 "
_@M451_ "姓名"
_@M452_ "姓名: "
_@M453_ "任务中的名字"
_@M454_ "姓名"
_@M455_ "海上"
_@M456_ "附近"
_@M457_ "新航点"
_@M458_ "新配置文件"
_@M459_ "新建"
_@M460_ "向后 >"
_@M461_ "下一个转弯点"
_@M462_ "没有活动的航点!"
_@M463_ "并非所有"
_@M464_ "没有滑翔机"
_@M465_ "无家可归!"
_@M466_ "没有比赛!"
_@M467_ "没有任务要加载"
_@M468_ "没有任务"
_@M469_ "没有警告"
_@M470_ "没有数据"
_@M471_ "没有修复"
_@M472_ "没有滑翔机"
_@M473_ "没有陆地"
_@M474_ "未连接记录仪"
#475 unused since 3.1i
_@M475_ "No overlay"
_@M476_ "没有任务"
_@M477_ "没有有效的路径"
_@M478_ "未选择航路点文件，无法保存。"
_@M479_ "没有"
_@M480_ "普通"
_@M481_ "智能向北"
_@M482_ "向北转"
_@M483_ "北朝上"
_@M484_ "北方/跟踪"
_@M485_ "一直向北 "
_@M486_ "内存不足保存航路点"
_@M487_ "数: "
_@M488_ "号码"
_@M489_ "关 (G)"
_@M490_ "关 (no G)"
_@M491_ "关"
_@M492_ "OK使公告无效吗?"
_@M493_ "OLC规则"
_@M494_ "开 (G)"
_@M495_ "开 (no G)"
_@M496_ "开/固定"
_@M497_ "开/缩放比例"
_@M498_ "出 (入口)"
_@M499_ "关"
_@M500_ "线上比赛"
_@M501_ "线上比赛"
_@M502_ "只能配置LKMaps，对不起！"
_@M503_ "在CLUB设备上禁止操作"
_@M504_ "优化"
_@M505_ "橙色"
_@M506_ "方向 "
_@M507_ "其它"
_@M508_ "覆盖颜色 "
_@M509_ "覆盖配置文件?"
_@M510_ "覆盖?"
_@M511_ "PC/normal"
_@M512_ "PDA/normal"
_@M513_ "PG/HG时间门"
_@M514_ "无外接电源"
_@M515_ "外接电源"
_@M516_ "配置文件"
_@M517_ "返回上一页"
_@M518_ "平移到中心"
_@M519_ "全景触发"
_@M520_ "滑翔伞/悬挂式滑翔机"
_@M521_ "粘贴"
_@M522_ "汽油"
_@M523_ "选择器"
_@M524_ "飞行员姓名"
_@M525_ "飞行员姓名: "
_@M526_ "足球场"
_@M527_ "请退出LK8000并重置设备。\n"
_@M528_ "极性文件 "
_@M529_ "轮询"
_@M530_ "端口 "
_@M531_ "压力 "
_@M532_ "用户配置文件 "
_@M533_ "配置文件已经存在"
_@M534_ "配置文件已加载!"
_@M535_ "配置文件已保存!"
_@M536_ "禁区"
_@M537_ "禁止"
_@M538_ "重置所有通信端口"
_@M539_ "重启"
_@M540_ "接收线程未终止!"
_@M541_ "径向"
_@M542_ "铁路 "
_@M543_ "范围"
_@M544_ "速率"
_@M545_ "刷新"
_@M546_ "真实方位 "
_@M547_ "真实方位 "
_@M548_ "剩余距离"
_@M549_ "剩余时间"
_@M550_ "删除航点"
_@M551_ "删除活动的航点?"
_@M552_ "从任务中删除"
_@M553_ "移除"
_@M554_ "更名"
_@M555_ "从任务中替换"
_@M556_ "恢复默认"
_@M557_ "重置QFE?"
_@M558_ "重置并重启COM端口?"
_@M559_ "QFE重置为0"
_@M560_ "重置"
_@M561_ "重启LK8000来启用新设置。"
_@M562_ "重新开始任务"
_@M563_ "重新开始任务?"
_@M564_ "限制区域"
_@M565_ "限制"
_@M566_ "重试"
_@M567_ "步枪灰色"
_@M568_ "右 "
_@M569_ "模拟"
_@M570_ "模拟"
_@M571_ "开始"
# 572 REMOVED after v2.3
_@M572_ "STF risk factor"
_@M573_ "停止转储"
_@M574_ "Mc安全值 "
_@M575_ "高度模式安全值 "
_@M576_ "海拔高度安全值 "
_@M577_ "锁定安全值 "
_@M578_ "卫星在视野中"
_@M579_ "保存?"
_@M580_ "另存为.."
_@M581_ "保存更改到航路点文件?"
_@M582_ "另存新文件"
_@M583_ "保存"
_@M584_ "分数"
_@M585_ "屏幕数据 "
_@M586_ "扇形半径 "
_@M587_ "扇形半径"
_@M588_ "扇形类型 "
_@M589_ "扇形类型"
_@M590_ "扇形"
_@M591_ "选择空域"
_@M592_ "选择航点"
_@M593_ "选择颜色"
_@M594_ "选择图案"
_@M595_ "选择"
_@M596_ "串行模式 "
_@M597_ "设置备用1"
_@M598_ "设置备用2"
_@M599_ "设置朋友代码"
_@M600_ "设置朋友代码 "
_@M601_ "设置MacCready"
_@M602_ "设置为备用1"
_@M603_ "设置为备用2"
_@M604_ "设为团队参考。"
_@M605_ "新设为家"
_@M606_ "设定范围"
_@M607_ "设置剩余速度"
_@M608_ "设置 ..."
_@M609_ "阴影"
_@M610_ "底纹 "
_@M611_ "短文件名 "
_@M612_ "短"
_@M613_ "显示空域关"
_@M614_ "显示空域开"
_@M615_ "显示时钟 "
_@M616_ "重大风向变化"
_@M617_ "小城市 "
_@M618_ "县道 "
_@M619_ "小城市 "
_@M620_ "蜗牛径关"
_@M621_ "蜗牛径全开"
_@M622_ "蜗牛径长开"
_@M623_ "蜗牛径短开"
_@M624_ "声音关"
_@M625_ "声音开"
_@M626_ "Sp "
_@M627_ "速度 "
_@M628_ "速度获得"
_@M629_ "平均速度"
_@M630_ "估计速度"
_@M631_ "剩余速度"
_@M632_ "速度"
# 633 UNUSED after v2.3
_@M633_ "Sprint"
# 634 UNUSED after v2.3
_@M634_ "Standard"
_@M635_ "开始 "
_@M636_ "强制开始"
_@M637_ "开始记录器"
_@M638_ "开始海拔高度"
_@M639_ "起始高度参考 "
_@M640_ "起始高度参考"
_@M641_ "起始最大高度 "
_@M642_ "起始最大高度"
_@M643_ "开始最大速度 "
_@M644_ "开始最大速度"
_@M645_ "开始最大高度剩余 "
_@M646_ "开始最大速度剩余 "
_@M647_ "起点"
_@M648_ "径向开始"
_@M649_ "起始半径 "
_@M650_ "起始半径"
_@M651_ "违反开始规则"
_@M652_ "违反开始规则\r\n但在保证金之内"
_@M653_ "开始速度"
_@M654_ "开始时间"
_@M655_ "开始类型 "
_@M656_ "开始类型"
_@M657_ "开始"
_@M658_ "统计屏幕"
_@M659_ "状态信息 "
_@M660_ "状态"
_@M661_ "状态: 飞机"
_@M662_ "状态: 外部设备"
_@M663_ "状态: 规则"
_@M664_ "状态: 系统"
_@M665_ "状态: 任务"
_@M666_ "状态: 时报"
_@M667_ "法规"
_@M668_ "稳定"
_@M669_ "停止记录"
_@M670_ "停止"
_@M671_ "日落"
_@M672_ "供电电压"
_@M673_ "系统状态"
_@M674_ "目标返回可见"
_@M675_ "目标已锁定"
_@M676_ "任务重新启动重置"
_@M677_ "真"
_@M678_ "转"
_@M679_ "表签"
_@M680_ "起飞时间"
_@M681_ "目标速度"
_@M682_ "目标盘旋"
_@M683_ "目标锁定"
_@M684_ "目标"
_@M685_ "任务计算器"
_@M686_ "任务公告!"
_@M687_ "任务完成"
_@M688_ "任务总览"
_@M689_ "任务点"
_@M690_ "任务规则"
_@M691_ "任务速度 "
_@M692_ "任务开始"
_@M693_ "任务状态"
_@M694_ "任务公告"
_@M695_ "任务距离"
_@M696_ "任务文件已经存在"
_@M697_ "任务速度"
_@M698_ "要去的任务"
_@M699_ "任务"
_@M700_ "团队代码"
_@M701_ "温度追踪"
_@M702_ "地形亮度 "
_@M703_ "地形颜色 "
_@M704_ "地形对比度 "
_@M705_ "地形显示 "
_@M706_ "地形文件 "
_@M707_ "地形 高度 "
_@M708_ "地形"
_@M709_ "地形\n关"
# 710 REMOVED in v2.3
_@M710_ "Text Input Style "
_@M711_ "文本:"
_@M712_ "热气流柱 "
_@M713_ "热气流轨道器 "
_@M714_ "热气流高度"
_@M715_ "热气流定位器 "
_@M716_ "该航路点是只读的"
_@M717_ "时间 "
_@M718_ "时间步长 "
_@M719_ "时间巡航步长 "
_@M720_ "时间"
_@M721_ "定时 "
_@M722_ "切换地图<>常用"
_@M723_ "切换地图<>陆地"
_@M724_ "切换地图<>交通"
_@M725_ "切换地图<>当前页"
_@M726_ "叠加切换"
_@M727_ "任务中太多航路点!"
_@M728_ "屏上方"
_@M729_ "上方"
_@M730_ "左上方"
_@M731_ "拓扑缩放级别"
_@M732_ "拓扑配置已保存。"
_@M733_ "拓扑显示 "
_@M734_ "拓扑地图"
_@M735_ "总计:"
_@M736_ "跟踪线 "
_@M737_ "追踪"
_@M738_ "交通"
_@M739_ "步道漂移 "
_@M740_ "步道长度 "
_@M741_ "步道宽度 "
# 742 UNUSED after v2.3
_@M742_ "Triangle"
_@M743_ "矢量字"
_@M744_ "真风参考空速 "
_@M745_ "真风周期 "
_@M746_ "真风更新！"
_@M747_ "任务开始时间 "
_@M748_ "任务时间门 "
_@M749_ "转弯点"
_@M750_ "转弯点过滤器 "
_@M751_ "类型 "
_@M752_ "类型"
_@M753_ "未知! "
_@M754_ "开锁"
# Unused 755 and 756 since  v3.2 
_@M755_ "USING AVAILABLE BARO ALTITUDE FROM:"
_@M756_ "USING BARO ALTITUDE FROM:"
_@M757_ "使用GPS高度"
_@M758_ "UTC时区 "
_@M759_ "无法更改端口上的设置"
_@M760_ "无法设置串行端口计时器"
_@M761_ "无法启动端口上的接收线程"
_@M762_ "无法打开端口"
_@M763_ "无边框, 无单位"
_@M764_ "无边框, 有单位"
_@M765_ "未知"
_@M766_ "作用GPS时间 "
_@M767_ "使用气压高度开/关"
_@M768_ "使用MacCready"
_@M769_ "使用平均效率"
_@M770_ "使用气压海拔 "
_@M771_ "使用黑色轮廓 "
_@M772_ "实际速度"
_@M773_ "推荐速度"
_@M774_ "粗略空速 "
_@M775_ "虚拟航点"
_@M776_ "有效结束"
_@M777_ "有效开始"
_@M778_ "白色值"
_@M779_ "变量"
_@M780_ "黑色高度"
_@M781_ "绿色+红色高度"
_@M782_ "彩虹高度"
_@M783_ "红色+蓝色高度"
_@M784_ "高度"
_@M785_ "变速条 "
_@M786_ "很高"
# REMOVED after v2.3
_@M787_ "Virtual Keys "
_@M788_ "音量 "
_@M789_ "警告"
_@M790_ "警告时间 "
_@M791_ "警告"
_@M792_ "警告 "
_@M793_ "水域标签 "
_@M794_ "波浪"
_@M795_ "航路点编辑器"
_@M796_ "航路点信息"
_@M797_ "航路点分析器"
_@M798_ "航路点UTM编辑器"
_@M799_ "航路点说明 "
_@M800_ "航路点"
_@M801_ "航路点\n结束"
_@M802_ "航路点\n下一"
_@M803_ "航路点\n前一"
_@M804_ "航路点\n起点"
_@M805_ "航路点文件分析错误"
_@M806_ "规划航路点 1 "
_@M807_ "规划航路点 2 "
_@M808_ "航路点文本样式 "
_@M809_ "航路点编辑"
_@M810_ "排除航路点，还是要保存吗？"
_@M811_ "航路点外部地形"
_@M812_ "天气预报"
_@M813_ "天气参数"
_@M814_ "重量"
_@M815_ "白色轮廓"
_@M816_ "白色"
_@M817_ "这会完成吗？"
_@M818_ "风设置"
# 819 REMOVED after 2.3
_@M819_ "Wind arrow"
_@M820_ "高空风"
_@M821_ "机翼负荷 "
# 822 REMOVED after 3.0
_@M822_ "Winpilot"
_@M823_ "飞行地带"
_@M824_ "航路点外部地形 "
_@M825_ "黄色"
_@M826_ "是的全部"
_@M827_ "是"
_@M828_ "你的代码 "
_@M829_ "僵尸 "
_@M830_ "区域 "
_@M831_ "_空间_"
_@M832_ "添加航点"
_@M833_ "辅助"
_@M834_ "盘旋"
_@M835_ "巡航"
_@M836_ "最佳滑翔"
_@M837_ "越过地形界"
_@M838_ "前8字母"
_@M839_ "前10字母"
_@M840_ "前12字母"
_@M841_ "字体大小 "
_@M842_ "大字体 "
_@M843_ "小字体 "
_@M850_ "1小时开门"
_@M851_ "30分钟开门"
_@M852_ "10分钟后开始"
_@M853_ "5分钟后开始"
_@M854_ "活动地图开"
_@M855_ "活动地图关"
_@M856_ "自动缩放开"
_@M857_ "自动缩放关"
_@M858_ "平移模式开"
_@M859_ "平移模式关"
_@M860_ "自动MacCready开"
_@M861_ "自动MacCready关"
_@M862_ "航迹记录器开"
_@M863_ "航迹记录器关"
_@M864_ "NMEA日志开"
_@M865_ "NMEA日志关"
_@M866_ "质量"
_@M867_ "轨道器开"
_@M868_ "轨道器关"
_@M869_ "空域内"
_@M870_ "退出"
_@M871_ "空域最近点"
_@M872_ "景观缩放20秒"
_@M873_ "返回正常缩放"
_@M874_ "点击中心屏幕开始"
_@M875_ "警告：GPS发送的日期无效，可能是错误的时间"
_@M876_ "使用公告启动记录器"
_@M877_ "配置已保存"
_@M878_ "记事本"
_@M879_ "对不起目标刚刚消失"
_@M880_ "解锁当前目标？"
_@M881_ "目标选择"
_@M882_ "已释放目标"
_@M883_ "目标消失了！"
_@M884_ "锁定这个目标？"
_@M885_ "设定值"
_@M886_ "任务计算"
_@M887_ "设置风况"
_@M888_ "警告事项"
_@M889_ "重量"
_@M890_ "不"
_@M891_ "清除旧任务并加载"
_@M892_ "(手动)"
_@M893_ "(自动)"
_@M894_ "开"
_@M895_ "强制"
_@M896_ "不强制"
_@M897_ "自动"
_@M898_ "全关"
_@M899_ "全开"
_@M900_ "加载地形文件中..."
_@M901_ "加载瓦片地形文件中..."
_@M902_ "加载拓扑地图文件中..."
_@M903_ "加载航路点文件中..."
_@M904_ "战术飞行计算机"
_@M905_ "热气流"
_@M906_ "巡航"
