# LK8000 ENGLISH MESSAGES - ENG_MSG.TXT
# MASTER UPDATED:  110102
#
# This file is loaded on startup and all messages are stored internally.
# If you are translating these messages, try to respect sizes.
# The first _@Mn_  are the indexes, and you cannot change them!
#
# Please note that ENG_MSG.TXT is the english master language for LK8000
# and it should always exist. Do not change ENG_MSG.TXT!
#
# All lines that are empty, or starting with a # , are ignored.
# DEVELOPERS ADDING NEW MESSAGES HERE SHOULD REQUEST A NUMBERING SLOT TO PAOLO

_@M1_ " Διαφορά"
_@M292_ "Min ύψος Τερματισμού"
_@M293_ "Min ύψος Τερματισμού"
_@M294_ "Finish radial"
_@M295_ "Ακτίνα Τερματισμού "
_@M296_ "Ακτίνα Τερματισμού"
_@M297_ "Τύπος Τερματισμού "
_@M298_ "Τύπος Τερματισμού"
_@M299_ "Τέρμα"
_@M300_ "Τερματισμός"
_@M301_ "Πρώτα 3"
_@M302_ "Πρώτα 5"
_@M303_ "Άκυρο Σήμα"
_@M304_ "Fixed"
_@M305_ "Επανάληψη πτήσης"
_@M306_ "Χρόνος Πτήσης"
_@M307_ "Free"
_@M308_ "Freq"
_@M309_ "Friend code "
_@M310_ "Full arrow"
_@M311_ "Ολική Επικάλυψη"
_@M312_ "Full"
_@M313_ "GA Αεροσκάφος"
_@M314_ "GATE OPEN"
_@M315_ "ΠΥΛΗ"
_@M316_ "GATES CLOSED"
_@M317_ "GOING SILENT ON COM REPORTING"
_@M318_ "GPS Alt.Offset "
_@M319_ "GPS lock"
_@M320_ "Gates interval "
_@M321_ "Gauges"
_@M322_ "Geoid Altitude "
_@M323_ "Ghost "
_@M324_ "Glide Bar indicator "
_@M325_ "Glide Polar"
_@M326_ "Glide terrain line "
_@M327_ "Θέση Ανεμοπτέρου "
_@M328_ "Ανεμόπτερο"
_@M329_ "Goto Home"
_@M330_ "Goto"
_@M331_ "Πράσινο"
_@M332_ "Γκρί"
_@M333_ "Μισή Επικάλυψη"
_@M334_ "Handicap "
_@M335_ "Υψόμετρο"
_@M336_ "Βοήθεια"
_@M337_ "Hide units "
_@M338_ "Ψηλές Άλπεις"
_@M339_ "Ψηλά"
_@M340_ "Υψηλή αντίθεση"
_@M341_ "HighScore Style"
_@M342_ "Υψηλότερα"
_@M343_ "IN (Exit)"
_@M344_ "ΑΝΑΚΡΙΒΗ ΚΑΤΕΥΘΥΝΣΗ Η ΠΟΛΥ ΔΥΝΑΤΟΣ ΑΝΕΜΟΣ"
_@M345_ "ΛΑΝΘΑΣΜΕΝΗ ΤΑΧΥΤΗΤΑ ΑΝΕΜΟΥ"
_@M346_ "IPhone Gestures "
_@M347_ "IS OPEN"
_@M348_ "Icon "
_@M349_ "Αγνόησε"
_@M350_ "Περιλαμβάνω"
_@M351_ "Info box titles"
_@M352_ "Info box values small"
_@M353_ "Info box values"
_@M354_ "InfoBox paste"
_@M355_ "Infobox Geometry"
_@M356_ "Πληροφορία"
_@M357_ "Εισαγωγή Σημείου"
_@M358_ "Εισαγωγή σε Διαδρομή"
_@M359_ "Εσωτερικά"
_@M360_ "Invalid old task format!"
_@M361_ "Αντιστροφή b/w χρωμάτων "
_@M362_ "Αντιστροφή Χρωμάτων "
_@M363_ "Αντιστροφή Χρωμάτων"
_@M364_ "Αντιστράφησαν"
_@M365_ "Πλάγια"
_@M366_ "KEEP AIRSPEED CONSTANT LONGER PLEASE"
_@M367_ "KEEP HEADING LONGER PLEASE"
_@M368_ "KEEP SPEED AND HEADING LONGER PLEASE"
_@M369_ "KEEP SPEED LONGER PLEASE"
_@M370_ "Πληκτρολόγιο"
_@M371_ "L/D Average period "
_@M372_ "LAST GATE IS OPEN"
_@M373_ "LCD darkgreen"
_@M374_ "LCD green"
_@M375_ "LK8000 προφιλ"
_@M376_ "LK8000 κυκλοφορία"
_@M377_ "LKoogle Πεδινά"
_@M378_ "LKoogle Ορεινά"
_@M379_ "Στοιχεία Χάρτη "
_@M380_ "Προσγειώσημα και Πυλώνες"
_@M381_ "Σύμβολο Προσγειώσημων"
_@M382_ "Προσγειώσημα μόνο"
_@M383_ "Στιλ Προσγειώσημων"
_@M384_ "Εκτίμηση Προσγειώσημου"
_@M385_ "Προσγειώσημα"
_@M386_ "Χρόνος Προσγείωσης"
_@M387_ "Γλώσσα "
_@M388_ "Αριστερά "
_@M389_ "Λιγότερα"
_@M390_ "Άνοδο "
_@M391_ "Ανοιχτό Πράσινο"
_@M392_ "Ανοιχτό Γκρι"
_@M393_ "Γραμμή"
_@M394_ "Live "
_@M395_ "Φόρτωση ούτως ή άλλως?"
_@M396_ "Φόρτωση διαδρομής"
_@M397_ "Φόρτωση αυτού του προφίλ?"
_@M398_ "Φόρτωση"
_@M399_ "Φόρτωση Αρχείου Εναέριου Χώρου..."
_@M400_ "Φόρτωση Αρχείου Σημείων..."
_@M401_ "Τοπική Ώρα "
_@M402_ "Τοπική Ώρα"
_@M403_ "Κλειδωμένο"
_@M404_ "Σφάλμα Καταγραφέα"
_@M405_ "ID καταγραφέα"
_@M406_ "ID καταγραφέα: "
_@M407_ "Επανάληψη καταγραφής"
_@M408_ "Καταγραφή Ανενεργή, ανεπαρκή μνήμη!"
_@M409_ "Καταγραφέας"
_@M410_ "Μακριά"
_@M411_ "Ψάχνω"
_@M412_ "Χαμηλές Άλπεις"
_@M413_ "Χαμηλά Εδάφη"
_@M414_ "Χαμηλά"
_@M415_ "Χαμηλότερα"
_@M416_ "Τιμή MacCready"
_@M417_ "Φούξια"
_@M418_ "Χειροκίνητο"
_@M419_ "Κλείδωμα Χάρτη "
_@M420_ "Χάρτες"
_@M421_ "Στοιχεία χάρτη OFF"
_@M422_ "Στοιχεία χάρτη ON"
_@M423_ "Στοιχεία χάρτη TOPO"
_@M424_ "Σημεία Χάρτη"
_@M425_ "Περιθώριο "
_@M426_ "Mark Location"
_@M427_ "Mark center"
_@M428_ "Max Θερμοκρασία "
_@M429_ "Max κερδ/μένο ύψος"
_@M430_ "Max Στοιχεία "
_@M431_ "Μεσαίες πόλεις "
_@M432_ "Μεσαίοι δρόμοι "
_@M433_ "Μεσαία"
_@M434_ "Κατάλογος timeout "
_@M435_ "Κατάλογος"
_@M436_ "Metric"
_@M437_ "Min κάθοδος"
_@M438_ "Περισσότερα"
_@M439_ "Ορεινά"
_@M440_ "Μετακίνηση κάτω"
_@M441_ "Μετακίνηση πάνω"
_@M442_ "Μετακίνηση wp κάτω"
_@M443_ "Μετακίνηση wp πάνω"
_@M444_ "Μετακίνηση"
_@M445_ "Κίνηση"
_@M446_ "Msg window"
_@M447_ "Multitarget menu"
_@M448_ "Multitarget rotate"
_@M449_ "NMEA Checksum "
_@M450_ "Όνομα "
_@M451_ "Όνομα"
_@M452_ "Όνομα: "
_@M453_ "Ονόματα διαδρομών"
_@M454_ "Ονόματα"
_@M455_ "Ναυτικά"
_@M456_ "Κοντά"
_@M457_ "Νέο Σημείο"
_@M458_ "Νέο Προφίλ"
_@M459_ "Νέο"
_@M460_ "Επόμενο >"
_@M461_ "Επόμενο Σημείο"
_@M462_ "Ανενεργό Σημείο!"
_@M463_ "No All"
_@M464_ "No Glider"
_@M465_ "No Home to go!"
_@M466_ "No Match!"
_@M467_ "Μη φόρτωση Διαδρομής"
_@M468_ "Δεν υπάρχει διαδρομή"
_@M469_ "Δεν υπάρχουν Προηδοποιήσεις"
_@M470_ "Δεν υπάρχουν δεδομένα"
_@M471_ "Δεν υπάρχει σήμα"
_@M472_ "Δεν υπάρχουν ανεμόπτερα"
_@M473_ "Μη Προσγειώσημα"
_@M474_ "Μη σύνδεση καταγραφέα"
_@M475_ "Μη επικάλυψη"
_@M476_ "Δεν υπάρχει διαδρομή"
_@M477_ "No valid path"
_@M478_ "Δεν έχει επιλεγεί αρχείο σημείων, δεν μπορεί να αποθηκευτεί."
_@M479_ "Κανένα"
_@M480_ "Κανονικό"
_@M481_ "Έξυπνος Βοράς"
_@M482_ "North circling"
_@M483_ "Βοράς Επάνω"
_@M484_ "North/track"
_@M485_ "NorthUp above "
_@M486_ "Ανεπαρκείς μνήμη για φόρτωση Σημείων"
_@M487_ "Νούμερο: "
_@M488_ "Νούμερα"
_@M489_ "OFF (G)"
_@M490_ "OFF (no G)"
_@M491_ "OFF"
_@M492_ "OK to invalidate declaration?"
_@M493_ "OLC Rules"
_@M494_ "ON (G)"
_@M495_ "ON (no G)"
_@M496_ "ON/Fixed"
_@M497_ "ON/Scaled"
_@M498_ "OUT (Enter)"
_@M499_ "Off"
_@M500_ "OnLine Contest"
_@M501_ "Online contest "
_@M502_ "Μόνο LKMaps μπορούν να προστεθούν, συγνώμη!"
_@M503_ "Operation forbidden on CLUB devices"
_@M504_ "Βελτιστοποίηση"
_@M505_ "Πορτοκαλί"
_@M506_ "Προσανατολισμός "
_@M507_ "Άλλα"
_@M508_ "Επικαλύψεις χρώματος"
_@M509_ "Αντικατάσταση προφίλ?"
_@M510_ "Αντικατάσταση?"
_@M511_ "PC/normal"
_@M512_ "PDA/normal"
_@M513_ "PG/Delta Time Gates"
_@M514_ "POWER SUPPLY OFF"
_@M515_ "POWER SUPPLY ON"
_@M516_ "ΠΡΟΦΙΛ"
_@M517_ "Σελίδα πίσω"
_@M518_ "Pan to center"
_@M519_ "Panorama trigger"
_@M520_ "Παραπέντε/Αετός"
_@M521_ "Επικόλληση"
_@M522_ "Petrol"
_@M523_ "Picker"
_@M524_ "Όνομα Πιλότου"
_@M525_ "Όνομα Πιλότου: "
_@M526_ "Κλίση"
_@M527_ "Παρακαλώ κάντε επανεκκίνηση τη συσκευή.\n"
_@M528_ "Polar file "
_@M529_ "Polling"
_@M530_ "Θύρα "
_@M531_ "Πίεση "
_@M532_ "Προφίλ "
_@M533_ "Το Προφίλ είδη υπάρχει"
_@M534_ "Το προφίλ φορτώθηκε!"
_@M535_ "Το προφίλ αποθηκεύτηκε!"
_@M536_ "Απαγορευμένες περιοχές"
_@M537_ "Απαγορευμένα"
_@M538_ "ΕΠΑΝΑΦΟΡΑ ΟΛΩΝ ΤΩΝ ΘΥΡΩΝ ΕΠΙΚΟΙΝΩΝΙΑΣ"
_@M539_ "ΕΠΑΝΕΚΚΊΝΗΣΗ"
_@M540_ "RX Thread not Terminated!"
_@M541_ "Radial"
_@M542_ "Σιδηρόδρομος "
_@M543_ "Αχτίνα"
_@M544_ "Βαθμός"
_@M545_ "Ανανέωση"
_@M546_ "Σχετ. Διόπτευση "
_@M547_ "Σχετ. Διόπτευση "
_@M548_ "Υπολοιπόμενη Απόσταση"
_@M549_ "Υπολοιπόμενος Χρόνος"
_@M550_ "Αφαίρεση Σημείου"
_@M551_ "Αφαίρεση Ενεργού Σημείου?"
_@M552_ "Αφαίρεση από Διαδρομή"
_@M553_ "Αφαίρεση"
_@M554_ "Μετονομασία"
_@M555_ "Αντικατάσταση Διαδρομής"
_@M556_ "Επαναφορά προεπιλογών"
_@M557_ "Επαναφορά QFE?"
_@M558_ "Επαναφορά και Επανεκκίνηση Θυρών?"
_@M559_ "Επαναφορά μηδενικού QFE"
_@M560_ "Επαναφορά"
_@M561_ "Επανεκκίνηση LK8000 για εφαρμογή αλλαγών."
_@M562_ "Επανεκκίνηση Διαδρομής"
_@M563_ "Επανεκκίνηση Διαδρομής?"
_@M564_ "Απαγορευμένες περιοχές"
_@M565_ "Απαγορευμένες"
_@M566_ "Ξαναπροσπαθήστε"
_@M567_ "Rifle γκρι"
_@M568_ "Δεξιά "
_@M569_ "SIM"
_@M570_ "ΠΡΟΣΟΜΟΙΩΣΗ"
_@M571_ "ΕΚΚΙΝΗΣΗ"
_@M572_ "STF παράγοντας κινδύνου"
_@M573_ "STOP DUMPING"
_@M574_ "Ασφαλές Mc "
_@M575_ "Λειτουργία υψους ασφ."
_@M576_ "Υψος Ασφαλείας"
_@M577_ "Κλείδωμα Ασφαλείας "
_@M578_ "Δορυφόροι"
_@M579_ "Αποθήκευση ?"
_@M580_ "Αποθήκευση ως.."
_@M581_ "Να αποθηκευτούν οι αλλαγές στο αρχείο σημείων?"
_@M582_ "Νέα Αποθήκευση"
_@M583_ "Αποθήκευση"
_@M584_ "Αποτέλεσμα"
_@M585_ "Δεδομένα Οθόνης "
_@M586_ "Ακτίνα Τομέα "
_@M587_ "Ακτίνα Τομέα"
_@M588_ "Τύπος Τομέα "
_@M589_ "Τύπος τομέα"
_@M590_ "Τομέας"
_@M591_ "Επιλογή Εναέριου Χώρου"
_@M592_ "Επιλογή Σημείου"
_@M593_ "Επιλογή Χρώματος"
_@M594_ "Επιλογή Υποδείγματος"
_@M595_ "Επιλογή"
_@M596_ "Serial mode "
_@M597_ "Εναλλακτική 1"
_@M598_ "Εναλλακτική 2"
_@M599_ "Ορ. Κωδικού φίλου"
_@M600_ "Ορ. Κωδικού φίλου "
_@M601_ "Ορισμ. MacCready"
_@M602_ "Ορισμ. ως Εναλλακτική 1"
_@M603_ "Ορισμ. ως Εναλλακτική 2"
_@M604_ "Ορισμός Ομάδας."
_@M605_ "Ορισμός ως νέο Αεροδρόμιο"
_@M606_ "Ρύθμιση εύρους"
_@M607_ "Ορισμ. υπολ/νης ταχ/τας"
_@M608_ "Ρυθμίσεις ..."
_@M609_ "Σκιά"
_@M610_ "Σκίαση "
_@M611_ "Σύντομο όνομα αρχείου "
_@M612_ "Μικρή"
_@M613_ "Εμφάνιση εναέριου χώρου OFF"
_@M614_ "Εμφάνιση εναέριου χώρου ON"
_@M615_ "Εμφάνιση Ρολογιού "
_@M616_ "Σημαντική αλλαγή ανέμου"
_@M617_ "Μικρές Πόλεις "
_@M618_ "Μικροί Δρόμοι "
_@M619_ "Μικρότερες Πόλεις "
_@M620_ "SnailTrail OFF"
_@M621_ "SnailTrail ON Full"
_@M622_ "SnailTrail ON Long"
_@M623_ "SnailTrail ON Short"
_@M624_ "Ήχοι OFF"
_@M625_ "Ήχοι ON"
_@M626_ "Sp "
_@M627_ "Ταχύτητα "
_@M628_ "Ταχύτητα που επιτεύχθηκε"
_@M629_ "Μ.Ο. Ταχύτητας"
_@M630_ "Εκτιμώμενη Ταχύτητα"
_@M631_ "Υπόλοιπο Ταχύτητας"
_@M632_ "Ταχύτητα"
_@M633_ "Sprint"
_@M634_ "Standard"
_@M635_ "Εκκίνηση "
_@M636_ "Εκκίνηση Anyway"
_@M637_ "Εκκίνηση Καταγραφέα"
_@M638_ "Αρχικό υψομ."
_@M639_ "Αναφορά αρχικού ύψ. "
_@M640_ "Αναφορά αρχικού ύψ."
_@M641_ "Αρχικό max ύψος "
_@M642_ "Αρχικό max ύψος"
_@M643_ "Αρχική max ταχύτητα "
_@M644_ "Αρχική max ταχύτητα"
_@M645_ "Αρχικό maxh. περιθώρ "
_@M646_ "Αρχικό maxsp. περιθώρ "
_@M647_ "Αρχικό Σημείο"
_@M648_ "Αρχική Ακτίνα"
_@M649_ "Έναρξη Ακτίνας "
_@M650_ "Εναρξη Ακτίνας"
_@M651_ "Παραβίαση κανόνων έναρξης"
_@M652_ "Παραβίαση κανόνων έναρξης\r\n αλλά μέσα στα περιθώρια"
_@M653_ "Αρχική Ταχύτητα"
_@M654_ "Αρχικός Χρόνος"
_@M655_ "Αρχικός Τύπος "
_@M656_ "Αρχικός Τύπος"
_@M657_ "Έναρξη"
_@M658_ "Οθόνη στατιστικής"
_@M659_ "Κατάσταση μηνύματος "
_@M660_ "Κατάσταση"
