# LK8000 ENGLISH MESSAGES - ENG_MSG.TXT
# MASTER UPDATED:  101216
#
# This file is loaded on startup and all messages are stored internally.
# If you are translating these messages, try to respect sizes.
# The first _@Mn_  are the indexes, and you cannot change them!
#
# Please note that ENG_MSG.TXT is the english master language for LK8000
# and it should always exist. Do not change ENG_MSG.TXT.
#
# All lines that are empty, or starting with a 
# , are ignored.

# DEVELOPERS ADDING MESSAGES HERE SHOULD REQUEST A NUMBERING SLOT TO PAOLO





_@M1_ " Разлика"
_@M108_ "Аутом. Насилна циљна финеса "
_@M109_ "Аутом. Mc мод "
_@M109_ "Аутом. Mc мод "
_@M110_ "Аутом. јачина звука "
_@M111_ "Аутом. Напред. "
_@M112_ "Аутом. Напредно"
_@M113_ "Аутом. писање дневника "
_@M114_ "Аутоматски ветар "
_@M115_ "Аутом. повећање "
_@M116_ "Av пењање"
_@M117_ "Средња вредност термала"
_@M118_ "Средњи термал"
_@M119_ "ПОМОЋНО НАПАЈАЊЕ УКЉУЧЕНО"
_@M120_ "ВИСИНА ПО ПРИТИСКУ ЈЕ ДОСТУПНА"
_@M121_ "ВИСИНА ПО ПРИТИСКУ НЕДОСТУПНА"
_@M122_ "ВИСИНА ПО ПРИТИСКУ НЕДОСТУПНА, КОРИСТИ СЕ GPS ВИСИНА"
_@M123_ "БАТЕРИЈА 100% НАПУЊЕНА"
_@M124_ "БАТЕРИЈА СЕ ПУНИ"
_@M125_ "Баласт "
_@M126_ "Баласт време праж. "
_@M127_ "Барограф"
_@M128_ "База"
_@M129_ "Основна подешавања"
_@M130_ "Основно подеша. менија"
_@M131_ "Основно"
_@M132_ "Напон батер.1."
_@M133_ "Напон батер.2."
_@M134_ "Батериско паковање"
_@M135_ "Baudrate "
_@M136_ "Правац  "
_@M137_ "Правац "
_@M138_ "Правац"
_@M139_ "Испод"
_@M140_ "Најбољи Т/Д"
_@M141_ "Најбољ.Алтерн.упоз. "
_@M142_ "Велики град "
_@M143_ "Велики пут "
_@M144_ "Црно"
_@M145_ "Празно!"
# 146 REMOVED after v2.3
_@M146_ "Блокирај STF "
_@M147_ "Плаво језеро"
_@M148_ "Све (Финес.+Прос.)"
_@M149_ "Обадвоје"
_@M150_ "Доњи панел "
_@M151_ "Кутија"
_@M152_ "Окружено, без димензи."
_@M153_ "Окружено, са димензи."
_@M154_ "Ази"
_@M155_ "ПРОВ. сигурне висине стизања\n"
_@M156_ "ЗАТВОРИ"
_@M157_ "ЗАТВОРЕНО"
_@M158_ "ПОТВРДИ ИДИ НА, ПРЕКИД ЗАДАТКА?"
_@M159_ "ПОТВРДИ иди на, ПРЕКИД задазка?"
_@M160_ "Рачун."
_@M161_ "Прекид"
_@M162_ "Немогуће преписивање!"
#M163 unused, changed to CarTrek
_@M163_ "Kола"
_@M164_ "Kатегорија "
_@M165_ "Pравац плафона"
_@M166_ "Центар "
_@M167_ "Центар"
_@M168_ "Провера конфигурације снимања"
_@M169_ "Изабрана тачка 'WP' није у актуелном задатк."
_@M170_ "Вредност кружног + "
_@M171_ "Кружни п.пречн. "
_@M172_ "Увећање кружења ИСКЉ."
_@M173_ "Увећање кружења УКЉУ."
_@M174_ "Кружно увећање "
_@M175_ "Кружење"
# 176 UNUSED after v2.3
_@M176_ "Класичан"
_@M177_ "Неизменично бриса."
_@M178_ "Брисање задат."
_@M179_ "Брисање задатка?"
_@M180_ "Обрисан"
_@M181_ "Trend термала"
_@M182_ "Термал"
_@M183_ "Висина термала "
_@M184_ "Клип"
_@M185_ "Затвори "
_@M186_ "Затвори"
_@M187_ "База облака"
_@M188_ "Код"
_@M189_ "Боје"
_@M190_ "Коментар"
_@M191_ "Коментар: "
_@M192_ "Општи"
_@M193_ "Команда са 'Volkslogger'"
_@M194_ "CompeGPS тачка WP"
_@M195_ "Подешавање"
_@M196_ "Подешав. кључева"
_@M197_ "Подеш. топологије"
_@M198_ "Потврда за ГАШЕЊЕ ТЛК?"
_@M199_ "Конектован"
_@M200_ "Копирај"
_@M201_ "Није могуће отворити .IGC фајч!"
_@M202_ "Увечање једрења "
_@M203_ "Ефикасност једрења"
_@M204_ "Тренутна позиција је коригована"
_@M205_ "Прилагођени тастери"
_@M206_ "Изворни фајл ПОЛАРЕ "
_@M207_ "Прилагођени тастери, конфигурација снимања"
_@M208_ "Изборна слова"
_@M209_ "Циан"
_@M210_ "Цилиндар"
_@M211_ "ДАТ Окретне тачке"
_@M212_ "ИЗБАЦИ БАЛАСТ"
_@M213_ "Опасно поље"
_@M214_ "Опасна поља"
_@M215_ "Тамно сива"
_@M216_ "Тамно бела"
_@M217_ "Тамно сива"
_@M218_ "Тамно плава"
_@M219_ "Датум"
_@M220_ "Време одзива "
_@M221_ "Објава задатка?"
_@M222_ "Објавити"
_@M223_ "Објављено"
_@M224_ "Несметана слетишта "
_@M225_ "Тачке које не сметају "
_@M226_ "Подраз. увећање мапе "
_@M227_ "Подразум.Вредно."
_@M228_ "Бриши"
_@M229_ "Бриши тачку 'WP'?"
_@M230_ "Бриши"
_@M231_ "Детаљи"
_@M232_ "Уређај A"
_@M233_ "Уређај Б"
_@M234_ "Модел уређаја "
_@M235_ "Оквир разговора "
_@M236_ "Управити ИДИ НА"
_@M237_ "Смер "
_@M238_ "Смер"
_@M239_ "Недоступно"
_@M240_ "Искључено"
_@M241_ "Екран"
_@M242_ "Удаљ. докле ићи"
_@M243_ "Удаљеност "
_@M244_ "Растојање "
_@M245_ "Растојање"
_@M246_ "Време избацивања "
_@M247_ "ETE"
_@M248_ "ИЗЛАЗ"
_@M249_ "Уреди слова"
_@M250_ "Уреди стартну тачку"
_@M251_ "Уреди текст"
_@M252_ "Уреди"
_@M253_ "Ефикасност "
_@M254_ "Захтевана ефикасност"
_@M255_ "Висина"
_@M256_ "Смарагдно зелена"
_@M257_ "Празна боја мапе "
_@M258_ "Укључи"
_@M259_ "Укључено"
_@M260_ "Инжињерски мени*"
_@M261_ "Унесите број"
_@M262_ "Одговарајући MC"
_@M263_ "Грешка у снимању задатка!"
_@M264_ "Грешка у фајлу задатка!"
_@M265_ "Грешка ЗАДАТАЈ НИЈЕ ОБЈАВЉЕН !!!"
_@M266_ "Грешка"
_@M267_ "Процењено време задатка"
_@M268_ "Догађаји "
_@M269_ "Избацити"
_@M270_ "Очекивано раније стизање задатка"
_@M271_ "Експерт"
_@M272_ "Продужетак Видљивог циљне равни "
_@M273_ "Продужено"
_@M274_ "FAI Сектор"
_@M275_ "FAI висина краја "
_@M276_ "FAI висина краја"
_@M277_ "ПОВУЋИ И КОРИСТИ GPS НА ПОРТУ"
_@M278_ "НЕТАЧНО"
_@M279_ "FLARM ДЕТЕКТОВАН"
_@M280_ "FLARM на мапи "
_@M281_ "ЛЕТИ"
_@M282_ "Поље"
_@M283_ "Прегледај фајл"
_@M284_ "Тип фајла"
_@M285_ "Фајл"
_@M286_ "Филтер"
_@M287_ "Филтер..."
_@M288_ "Аутоматска циљна финеса"
_@M289_ "Циљна финеса УКЉУЧЕНА на силу"
_@M290_ "Циљна финеса"
_@M291_ "Миним. крајна висина"
_@M292_ "Миним. крајна висина "
_@M293_ "Миним. крајна висина"
_@M294_ "Крајни радиал"
_@M295_ "Крајни полупр. "
_@M296_ "Крајни полупр."
_@M297_ "Крајни тип "
_@M298_ "Крајни тип"
_@M299_ "Крај"
_@M300_ "Завршено"
_@M301_ "Прва 3"
_@M302_ "Првих 5"
_@M303_ "Поправка немогућа"
_@M304_ "Поправљено"
_@M305_ "Поправљени лет"
_@M306_ "Време летења"
_@M307_ "Слободно"
_@M308_ "Фрекфр."
_@M309_ "Другарски код "
# 310 REMOVED after v2.3
_@M310_ "Пуна стрелица"
_@M311_ "Пуно преклапање"
_@M312_ "Пуно"
_@M313_ "GA Ваздухоплов"
_@M314_ "КАПИЈА ОТВОРЕНА"
_@M315_ "КАПИЈА"
_@M316_ "КАПИЈА ЗАТВОРЕНА"
_@M317_ "COM ИЗВЕШТАЈ ИДЕ НА ТИШИНУ"
_@M318_ "GPS Висинска компенз. "
_@M319_ "GPS закључан"
_@M320_ "Интервал капије "
_@M321_ "Mанометар"
_@M322_ "Geoid висина "
_@M323_ "Дух "
_@M324_ "Панел индикатор крет. "
_@M325_ "Полара финеса"
_@M326_ "Линија кретања по тере. "
_@M327_ "Позиција ваздухоплова "
_@M328_ "Ваздухоп."
_@M329_ "Води ме КУЋИ"
_@M330_ "Иди на"
_@M331_ "Зелена"
_@M332_ "Сива"
_@M333_ "1/2 преклапања"
_@M334_ "Олакшица "
_@M335_ "Висина"
_@M336_ "Помоћ"
_@M337_ "Скривање јединице "
_@M338_ "Висина АЛПИ"
_@M339_ "Висина"
_@M340_ "Контраст по висини"
# 341 REMOVED after v2.3
_@M341_ "Стил високог резултата"
# 342 UNUSED after v2.3
_@M342_ "Вишљи"
_@M343_ "У (Излаз)"
_@M344_ "НЕТАЧАН ПРАВАЦ ИЛИ ПРЕЈАК ВЕТАР"
_@M345_ "НЕТАЧНА БРЗИНА ВЕТРА"
_@M346_ "IPhone покрети "
_@M347_ "IS ОТВОРЕН"
_@M348_ "Икона "
_@M349_ "Игнориши"
_@M350_ "Укључено"
_@M351_ "InfoBox називи"
# 352 REMOVED after v2.3
_@M352_ "InfoBox мале вредности"
_@M353_ "InfoBox вредности"
_@M354_ "InfoBox спојити"
# 355 REMOVED after v2.3
_@M355_ "Infobox Геометрија"
_@M356_ "Информације"
_@M357_ "Уметни тачку 'WP'"
_@M358_ "Убаци у задатак"
_@M359_ "У ваз.простору"
_@M360_ "Неисправан стартни формат задатка!"
_@M361_ "Инверзне Ц/Б боје "
_@M362_ "Инверзне боје "
_@M363_ "Преврни боје"
_@M364_ "Преврнуто"
_@M365_ "Искошено"
_@M366_ "ЗАДРЖИТЕ КОНСТАНТНУ БРЗИНУ MOLIMO ДУЖЕ"
_@M367_ "ЗАДРЖИТЕ ПРАВАЦ МАЛО ДУЖЕ"
_@M368_ "ЗАДРЖИТЕ БРЗИНУ И ПРАВАЦ МАЛО ДУЖЕ"
_@M369_ "ЗАДРЖИТЕ БРЗИНУ МАЛО ДУЖЕ"
# 370 REMOVED after v2.3
_@M370_ "Тастатура"
_@M371_ "Просечни период 'L/D' "
_@M372_ "ПОСЛЕДЊА КАПИЈА ЈЕ ОТВОРЕНА"
_@M373_ "LCD тамно зелена"
_@M374_ "LCD зелена"
_@M375_ "LK8000 Профили"
_@M376_ "LK8000 Саобраћај"
_@M377_ "LKoogle Ниска земља"
_@M378_ "LKoogle Планина"
_@M379_ "Етикета "
_@M380_ "Слетиште и Окретна тачка"
_@M381_ "Икона слетишта "
_@M382_ "Само слетиште"
_@M383_ "Стил слетишта "
_@M384_ "Вредност слетишта "
_@M385_ "Слетиште"
_@M386_ "Време слетања"
_@M387_ "Језик "
_@M388_ "Лево "
# 389 UNUSED after v2.3
_@M389_ "Мање"
_@M390_ "Термал "
_@M391_ "Светло зелено"
_@M392_ "Светло сиво"
_@M393_ "Линија"
_@M394_ "Уживо пренос "
_@M395_ "Учитај у сваком случају?"
_@M396_ "Учитај задатак"
_@M397_ "Учитај профил?"
_@M398_ "УЧИТАНО"
_@M399_ "Учитавање фајла ваздушног простора ..."
_@M400_ "Учитавање фајла описа тачака 'WP'..."
_@M401_ "Локално време "
_@M402_ "Локално време "
_@M403_ "Закључан"
_@M404_ "Грешка у упису у ЛОГ фајл"
_@M405_ "ИБ лет.дневника"
_@M406_ "ИБ лет.дневника: "
_@M407_ "Одговор лет.дневника"
_@M408_ "Лет.дневник неактиван, нема простора на ТЛК уређају!"
_@M409_ "Лет. дневник"
_@M410_ "Дугачко"
_@M411_ "Погледај"
_@M412_ "Ниске АЛПИ"
_@M413_ "Ниска земља"
_@M414_ "Ниско"
# 415 UNUSED after v2.3
_@M415_ "Најниже"
_@M416_ "MacCready вредност "
_@M417_ "Пурпурно црвена"
_@M418_ "Ручно"
# 419 no more used after 2.3
_@M419_ "Закључавање мапе "
_@M420_ "Фајл мапе "
_@M421_ "Име на мапи ИСКЉ."
_@M422_ "Име на мапи УКЉУ."
_@M423_ "Име на мапи ТОПОЛ."
_@M424_ "'WP' мапа"
_@M425_ "Ивица "
_@M426_ "Снимање ГПС локације"
_@M427_ "Маркирање центра"
_@M428_ "Макс.Темпе. "
_@M429_ "Макс.добиј.висина"
_@M430_ "Макс. етикета "
_@M431_ "Средњи градови "
_@M432_ "Средњи путеви "
_@M433_ "Средњи"
_@M434_ "Време менија "
_@M435_ "Мени"
_@M436_ "Meтрични"
_@M437_ "Мини.пропад."
# 438 UNUSED after v2.3
_@M438_ "Више"
_@M439_ "Планински"
_@M440_ "Помери доле"
_@M441_ "Помери горе"
_@M442_ "Помери тачку доле"
_@M443_ "Помери тачку горе"
_@M444_ "Помери"
_@M445_ "Померање"
# 446 REMOVED after v2.3
_@M446_ "Прозор поруке"
_@M447_ "Вишециљни мени"
_@M448_ "Вишециљно ротирање"
_@M449_ "NMEA Прв.записа "
_@M450_ "Име "
_@M451_ "Име"
_@M452_ "Име: "
_@M453_ "Име у задатку"
_@M454_ "Имена"
_@M455_ "Наутички"
_@M456_ "Близу"
_@M457_ "Нова тачка 'WP'"
_@M458_ "Нови профил"
_@M459_ "Нови"
_@M460_ "->>>>>>"
_@M461_ "Следећа окрет.тачка"
_@M462_ "Нема активне тачке 'WP'-a!"
_@M463_ "Нема свих"
_@M464_ "Нема глајдера"
_@M465_ "Нема домаће тачке где ићи!"
_@M466_ "НЕМАМ ПОДАТАКС!"
_@M467_ "Нема задатка за учитавање"
_@M468_ "Нема задатка"
_@M469_ "Нема упозорења"
_@M470_ "Нема података"
_@M471_ "Нема положаја"
_@M472_ "Нема глајдера"
_@M473_ "Без слетања"
_@M474_ "Лет.дневник није конектован"
#475 unused since 3.1i
_@M475_ "Без преклапања"
_@M476_ "Нема задатка"
_@M477_ "Нема валидне путање"
_@M478_ "Није селектована тачка 'WP' фајла, немогуће снимање."
_@M479_ "Празно"
_@M480_ "Нормално"
_@M481_ "Паметни север/Преуређени север"
_@M482_ "Север кружење/Напред крстар.кружење"
_@M483_ "Север горе/Север је горе напред"
_@M484_ "Север/Запис-Напед крстар.кружење"
_@M485_ "Север горе изнад "
_@M486_ "Нема меморије за тачку 'WP'"
_@M487_ "Број: "
_@M488_ "Бројеви"
_@M489_ "ИСКЉ. (G)"
_@M490_ "ИСКЉ. (нема G)"
_@M491_ "ИСКЉ."
_@M492_ "OK за декларацију нетачних података?"
_@M493_ "OLC Правила"
_@M494_ "УКЉУ. (G)"
_@M495_ "УКЉУ. (нема G)"
_@M496_ "Укљу./Поправка"
_@M497_ "Укљу./Увећано"
_@M498_ "ИЗВАН (Enter)"
_@M499_ "Искљ."
_@M500_ "OnLine такмичење"
_@M501_ "Online такмичење "
_@M502_ "Само LKMaps могу бити конфигурисане, ИЗВИНИ :("
_@M503_ "Операција спречена на CLUB уређају"
_@M504_ "Оптимизуј"
_@M505_ "Наранџасто"
_@M506_ "Орјентисана "
_@M507_ "Остали"
_@M508_ "Допуна боје "
_@M509_ "Преписан профил?"
_@M510_ "Преписивање?"
_@M511_ "PC/нормално"
_@M512_ "PDA/нормално"
_@M513_ "PG/HG Време капије"
_@M514_ "НАПАЈАЊЕ ИСКЉУЧЕНО"
_@M515_ "НАПАЈАЊЕ УКЉУЧЕНО"
_@M516_ "ПРОФИЛ"
_@M517_ "Страница назад"
_@M518_ "Маркер у центар"
_@M519_ "Панорама окидача"
_@M520_ "Параглајдер/Змај"
_@M521_ "Налепи"
_@M522_ "Petrol"
_@M523_ "Сакупљач"
_@M524_ "Име пилота"
_@M525_ "Име пилота: "
_@M526_ "Нагиб"
_@M527_ "Молимо Вас да напустите LK8000 и поново покренете ТЛК\n"
_@M528_ "Фајл поларе "
_@M529_ "Списак"
_@M530_ "ПОРТ "
_@M531_ "Притисак "
_@M532_ "Профил" "
_@M533_ "Профил већ постоји"
_@M534_ "Профил учитан!"
_@M535_ "Профил снимљен!"
_@M536_ "Забрањено поље"
_@M537_ "Забрањено"
_@M538_ "Поново покретање свих ПОРТОВА"
_@M539_ "ПОН.ПОКРЕТАЊЕ"
_@M540_ "RX НИЗ није окончан!"
_@M541_ "Радијалан"
_@M542_ "Стаза "
_@M543_ "Област"
_@M544_ "Вредност"
_@M545_ "Освежење"
_@M546_ "Реалан азимут "
_@M547_ "Реал.азимут "
_@M548_ "Преостала удаљеност"
_@M549_ "Преостало време"
_@M550_ "Уклонити тачку 'WP'"
_@M551_ "Уклонити активну тачку 'WP'?"
_@M552_ "Уклонити из задатка"
_@M553_ "Уклонити"
_@M554_ "Променити"
_@M555_ "Заменити у задатку"
_@M556_ "Враћ.подраз.вредности"
_@M557_ "Враћање QFE?"
_@M558_ "Враћање и пон.покретање COM\nПортова?"
_@M559_ "Враћање 0=QFE"
_@M560_ "Враћање"
_@M561_ "Поново покрените LK8000 за примену промене"
_@M562_ "Враћање на задатак"
_@M563_ "Враћање задатка?"
_@M564_ "Област са забраном"
_@M565_ "Ограничено"
_@M566_ "Поново"
_@M567_ "Зелена стрелица"
_@M568_ "Десно "
_@M569_ "СИМ"
_@M570_ "Симулац."
_@M571_ "СТАРТ"
# 572 REMOVED after v2.3
_@M572_ "STF ризични фактор"
_@M573_ "ЗАУСТАВИ ПРАЖЊЕЊЕ"
_@M574_ "Сигурни Mc "
_@M575_ "Сигурни висински мод "
_@M576_ "Безбедна висина "
_@M577_ "Bezbedno zaključav. "
_@M578_ "Сателит у погледу"
_@M579_ "СНИМИ ?"
_@M580_ "СНИМИ КАО..."
_@M581_ "Сними промене у фајл тачке 'WP'?"
_@M582_ "Сними одмах"
_@M583_ "Сними"
_@M584_ "Резултат"
_@M585_ "Подаци екрана "
_@M586_ "Сектор. радиус "
_@M587_ "Сектор. радиус"
_@M588_ "Тип сектора "
_@M589_ "Тип сектора"
_@M590_ "Сектор"
_@M591_ "Избор вазд.простора"
_@M592_ "Изабрана тачка 'WP'"
_@M593_ "Изабрана боја"
_@M594_ "Изабрани шаблон"
_@M595_ "Изабери"
_@M596_ "Начин Бележења "
_@M597_ "Подеш. алтернативе 1"
_@M598_ "Подеш. алтернативе 2"
_@M599_ "Подеш. пријатељског кода"
_@M600_ "Подеш. пријатељског кода "
_@M601_ "Подеш. MacCready"
_@M602_ "Подеси као алтернатива 1"
_@M603_ "Подеси као алтернатива 2"
_@M604_ "Подеси као тимску рефер."
_@M605_ "Подеси као нову КУЋУ"
_@M606_ "Подеш. оквира"
_@M607_ "Подеш. брзине подсећања"
_@M608_ "Подешавање..."
_@M609_ "Сенка"
_@M610_ "Сенчење "
_@M611_ "Кратко име фајла "
_@M612_ "Кратко"
_@M613_ "Приказ вазд.прост.ИСКЉ."
_@M614_ "Приказ вазд.прост.УКЉУ."
_@M615_ "Приказ САТ-а "
_@M616_ "ЗНАТНА ПРОМЕНА ВЕТРА"
_@M617_ "Мали градови "
_@M618_ "Мали путеви "
_@M619_ "Варошице "
_@M620_ "Лења стаза ИСКЉ."
_@M621_ "Лења стаза УКЉУ. Комплетна"
_@M622_ "Лења стаза УКЉУ. Дугачка"
_@M623_ "Лења стаза УКЉУ. Кратка"
_@M624_ "Звук ИСКЉ."
_@M625_ "Звук УКЉУ."
_@M626_ "Sp "
_@M627_ "Брзина "
_@M628_ "Атхивирана брзину"
_@M629_ "Просечна брзина"
_@M630_ "Процењена brzina"
_@M631_ "Запамћена brzina"
_@M632_ "Брзина"
# 633 UNUSED after v2.3
_@M633_ "Трчање"
# 634 UNUSED after v2.3
_@M634_ "Стандард"
_@M635_ "Старт "
_@M636_ "Старт у сваком случају"
_@M637_ "Старт Лет.дневника"
_@M638_ "Стартна висина"
_@M639_ "Старт рефе.висина "
_@M640_ "Старт рефе.висине"
_@M641_ "Старт макси.висине "
_@M642_ "Старт макси.висине"
_@M643_ "Старт макси.брзине "
_@M644_ "Старт макси.брзине"
_@M645_ "Start maks.h.marg. "
_@M646_ "Start maks.sp.marg. "
_@M647_ "Стартна тачка"
_@M648_ "Стартни радиал"
_@M649_ "Стартни радиус "
_@M650_ "Стартни радиус"
_@M651_ "Прекршено стартно ПРАВИЛО"
_@M652_ "Прекрш.стартно правило\r\n али у ивицама"
_@M653_ "Стартна брзина"
_@M654_ "Стартно време"
_@M655_ "Стартни тип "
_@M656_ "Стартни тип"
_@M657_ "Старт"
_@M658_ "Статистички екран"
_@M659_ "Статусна порука "
_@M660_ "Статус"
_@M661_ "Статус: Ваздухоплова"
_@M662_ "Статус: Спољњ.Уређаја"
_@M663_ "Статус: Правила"
_@M664_ "Статус: Система"
_@M665_ "Статус: Задатка"
_@M666_ "Статус: Времена"
_@M667_ "Статут"
_@M668_ "Миран"
_@M669_ "Прекид Лет.Дневника"
_@M670_ "Прекид"
_@M671_ "Ѕалазак сунца"
_@M672_ "Напон батерије"
_@M673_ "Статус система"
_@M674_ "ЦИЉ ПОНОВО ВИДЉИВ"
_@M675_ "ЦИЉ ЗАКЉУЧАН"
_@M676_ "ПОНОВО ПОКРЕТАЊЕ ЗАДАТКА"
_@M677_ "ТАЧНО"
_@M678_ "ОКРЕНИ СЕ"
_@M679_ "Tab"
_@M680_ "Време полетања"
_@M681_ "Циљна брзина"
_@M682_ "Циљ горе са кружењем"
_@M683_ "Циљ закључан"
_@M684_ "Циљ"
_@M685_ "Рачунање задатка"
_@M686_ "Задатак објављен!"
_@M687_ "Задатак завршен"
_@M688_ "Преглед задатка"
_@M689_ "Тачка задатка"
_@M690_ "Правило задатка"
_@M691_ "Брзина задатка "
_@M692_ "Почетак задатка"
_@M693_ "Статус задатка"
_@M694_ "Задатак објављен"
_@M695_ "Удаљеност задатка"
_@M696_ "Фајл са задатком већ ПОСТОЈИ"
_@M697_ "Брзина задатка"
_@M698_ "Доћи до задатка"
_@M699_ "Задатак"
_@M700_ "Тимски код"
_@M701_ "Привремена путања"
_@M702_ "Осветљење терена "
_@M703_ "Боја терена "
_@M704_ "Контраст терена "
_@M705_ "Екран терена "
_@M706_ "Фајл терена "
_@M707_ "Висина терена "
_@M708_ "Терен"
_@M709_ "Терен\n ИСКЉ."
# 710 REMOVED in v2.3
_@M710_ "Уносни стил текста "
_@M711_ "Текст:"
_@M712_ "Термички панел "
_@M713_ "Термичка путања "
_@M714_ "Висина термала"
_@M715_ "Локатор термала "
_@M716_ "Изабрана тачка 'WP' је само за читање"
_@M717_ "Време "
_@M718_ "Време период кружења "
_@M719_ "Време период крстарења "
_@M720_ "Време"
_@M721_ "Timing "
_@M722_ "Poluga Mape<>Zajednicki"
_@M723_ "Poluga Mape<>Sletiste"
_@M724_ "Poluga Mape<>Saobracaj"
_@M725_ "Poluga Mape<>trenutna stranica"
_@M726_ "Poluga dometa"
_@M727_ "Превише тачака 'WP' у задатку!"
_@M728_ "Горњи екран"
_@M729_ "Врх"
_@M730_ "Горе лево"
_@M731_ "Ниво повећања топологије"
_@M732_ "Снимљена подешавања топологије"
_@M733_ "Екран топологије "
_@M734_ "Етикете топологије"
_@M735_ "Укупно:"
_@M736_ "Линија записа "
_@M737_ "Запис горе - Правац кретања напред"
_@M738_ "Саобраћај"
_@M739_ "Црта.пута "
_@M740_ "Дужина пута "
_@M741_ "Ширина пута "
# 742 UNUSED after v2.3
_@M742_ "Троугао"
_@M743_ "Исправан Тип"
_@M744_ "TrueWind IAS "
_@M745_ "TrueWind период "
_@M746_ "TrueWind ажуриран!"
