# LK8000 ENGLISH MESSAGES - ENG_MSG.TXT
# MASTER UPDATED:  110102
#
# This file is loaded on startup and all messages are stored internally.
# If you are translating these messages, try to respect sizes.
# The first _@Mn_  are the indexes, and you cannot change them!
#
# Please note that ENG_MSG.TXT is the english master language for LK8000
# and it should always exist. Do not change ENG_MSG.TXT!
#
# All lines that are empty, or starting with a # , are ignored.
# DEVELOPERS ADDING NEW MESSAGES HERE SHOULD REQUEST A NUMBERING SLOT TO PAOLO

_@M1_ " Dife"
_@M236_ "Ir Directo A"
_@M237_ "Dirección "
_@M238_ "Dirección"
_@M239_ "Deshabilitado"
_@M240_ "Desconectado"
_@M241_ "Pantalla"
_@M242_ "Distancia a"
_@M243_ "Distancia  "
_@M244_ "Distancia "
_@M245_ "Distancia"
_@M246_ "Tiempo de deslastrado "
_@M247_ "ETE"
_@M248_ "SALIDA"
_@M249_ "Editar Fuentes"
_@M250_ "Editar Puntos de Salida"
_@M251_ "Editar Texto"
_@M252_ "Editar"
_@M253_ "Eficiencia "
_@M254_ "Eficiencia Req"
_@M255_ "Elevación"
_@M256_ "Verde Esmeralda"
_@M257_ "Color vacío de Mapa "
_@M258_ "Habilitar"
_@M259_ "Deshabilitar"
_@M260_ "Menú de Ingeniería*"
_@M261_ "Ingresar Número"
_@M262_ "MC Equivalente"
_@M263_ "Error salvando Manga!"
_@M264_ "Error en el archivo!"
_@M265_ "Error! Manga NO declarada!"
_@M266_ "Error"
_@M267_ "Tiempo Estimado de Manga"
_@M268_ "Eventos "
_@M269_ "Excluir"
_@M270_ "Esperar tiempo menor de llegada"
_@M271_ "Experto"
_@M272_ "Planeo visual Extendido"
_@M273_ "Extendido"
_@M274_ "Sector FAI"
_@M275_ "Altura de Llegada FAI "
_@M275_ "Altura de Llegada FAI"
_@M277_ "PROBLEMA EN EL PUERTO GPS"
_@M278_ "FALSO"
_@M279_ "FLARM DETECTADO"
_@M280_ "FLARM en el Mapa "
_@M281_ "Volar"
_@M282_ "Campo"
_@M283_ "Navegador de Archivos"
_@M284_ "Tipo de Archivo"
_@M285_ "Archivo"
_@M286_ "Filtrar"
_@M287_ "Filtrar..."
_@M288_ "Planeo Final Automático"
_@M289_ "Planeo Final Forzado ON"
_@M290_ "Planeo Final"
_@M291_ "Mínima Altura de Meta"
_@M292_ "Mínima Altura de Meta "
_@M293_ "Mínima Altura de Meta"
_@M294_ "Radial de Meta"
_@M295_ "Radio de Meta "
_@M296_ "Radio de Meta"
_@M297_ "Tipo de Meta "
_@M298_ "Tipo de Meta"
_@M299_ "Meta"
_@M300_ "Finalizado"
_@M301_ "Primeros 3"
_@M302_ "Primeros 5"
_@M303_ "Arreglo Inválido"
_@M304_ "Arreglado"
_@M305_ "Reproducir Vuelo"
_@M306_ "tiempo de vuelo"
_@M307_ "Libre"
_@M308_ "Freq"
_@M309_ "Código de Compañero "
_@M310_ "Flecha Completa"
_@M311_ "Capa Completa"
_@M312_ "Lleno"
_@M313_ "Aeronave GA"
_@M314_ "SALIDA ABIERTA"
_@M315_ "SALIDA"
_@M316_ "SALIDA CERRADA"
_@M317_ "SILENCIANDO REPORTE DE COM"
_@M318_ "Offset de Altura de GPS "
_@M319_ "GPS Fijado"
_@M320_ "Intervalo de Salidas "
_@M321_ "Instrumentos"
_@M322_ "Altitud Geoide "
_@M323_ "Fantasma "
_@M324_ "Barra Indicadora de Planeo "
_@M325_ "Polar de Planeo"
_@M326_ "Línea de Planeo sobre Terreno "
_@M327_ "Posición de la Aeronave "
_@M328_ "Planeador"
_@M329_ "Ir a Base"
_@M330_ "Ir a"
_@M331_ "Verde"
_@M332_ "Gris"
_@M333_ "Media Capa"
_@M334_ "Handicap "
_@M335_ "Altura"
_@M336_ "Ayuda"
_@M337_ "Esconder Unidades "
_@M338_ "Altos Alpes"
_@M339_ "Alto"
_@M340_ "Alto Contraste"
_@M341_ "Estilo de Puntuación Alta"
_@M342_ "Más Alto"
_@M343_ "IN (Exit/Salida)"
_@M344_ "RUMBO INADECUADO O VIENTO MUY FUERTE"
_@M345_ "VELOCIDAD INVÁLIDA"
_@M346_ "Gestos de iPhone "
_@M347_ "ESTÁ ABIERTA"
_@M348_ "Icono "
_@M349_ "Ignorar"
_@M350_ "Incluir"
_@M351_ "Títulos de InfoBox"
_@M352_ "Valores pequeños de InfoBox"
_@M353_ "Valores de InfoBox"
_@M354_ "Pegado a InfoBox"
_@M355_ "Geometría de InfoBox"
_@M356_ "Información"
_@M357_ "Insertar Waypoint"
_@M358_ "Insertar en Manga"
_@M359_ "Dentro"
_@M360_ "Formato inválido antiguo de Manga!"
_@M361_ "Invertir Colores ByN "
_@M362_ "Invertir Colores "
_@M363_ "Invertir Colores"
_@M364_ "Invertidos"
_@M365_ "Itálica"
_@M366_ "MANTENGA VELOCIDAD CONSTANTE POR MAS TIEMPO"
_@M367_ "MANTENGA LA DIRECCIÓN POR MÁS TIEMPO"
_@M368_ "MANTENGA VELOCIDAD Y DIRECCIÓN MÁS TIEMPO"
_@M369_ "MANTENGA LA VELOCIDAD MÁS TIEMPO"
_@M370_ "Teclado"
_@M371_ "Periodo Promedio de L/D "
_@M372_ "ULTIMA SALIDA ESTÁ ABIERTAQ"
_@M373_ "Verde Oscuro LCD"
_@M374_ "Verde LCD"
_@M375_ "Perfiles LK8000"
_@M376_ "Tráfico LK8000"
_@M377_ "Tierras Bajas LKoogle"
_@M378_ "Terreno Montañoso LKoogle"
_@M379_ "Etiquetas "
_@M380_ "Aterrizables y Turnpoints"
_@M381_ "Icono de Aterrizables "
_@M382_ "Solo Aterrizables"
_@M383_ "Estilo de Aterrizables "
_@M384_ "Valor de Aterrizables "
_@M385_ "Aterrizables"
_@M386_ "Horario de Aterrizaje"
_@M387_ "Idioma "
_@M388_ "Izquierda "
_@M389_ "Menos"
_@M390_ "Ascendencia "
_@M391_ "Verde Claro"
_@M392_ "Gris Claro"
_@M393_ "Línea"
_@M394_ "En Vivo "
_@M395_ "Cargar de todos modos?"
_@M396_ "Cargar Manga"
_@M397_ "Cargar este Perfil?"
_@M398_ "Cargar"
_@M399_ "Cargando Espacio Aéreo..."
_@M400_ "Cargando Notas de Waypoints..."
_@M401_ "Tiempo Local "
_@M402_ "tiempo Local"
_@M403_ "Bloqueado"
_@M404_ "Error de Grabación"
_@M405_ "ID de la Grabadora"
_@M406_ "ID de la Grabadora: "
_@M407_ "Reproducir Grabadora"
_@M408_ "Grabadora inactiva, ESPACIO INSUFICIENTE!"
_@M409_ "Grabadora"
_@M410_ "Largo"
_@M411_ "Advertir"
_@M412_ "Alpes Bajos"
_@M413_ "Tierras Bajas"
_@M414_ "Bajo"
_@M415_ "Más Abajo"
_@M416_ "Valor MacCready "
_@M417_ "Magenta"
_@M418_ "Manual"
_@M419_ "Bloqueado de Mapa "
_@M420_ "Archivo de Mapa "
_@M421_ "Etiquetas de Mapa OFF"
_@M422_ "Etiquetas de Mapa ON"
_@M423_ "Etiquetas de Mapa TOPO"
_@M424_ "Waypoints en Mapa"
_@M425_ "Margen "
_@M426_ "Localización de Marca"
_@M427_ "Centro de Marca"
_@M428_ "Máxima Temp "
_@M429_ "Máxima Ganancia Altura"
_@M430_ "Máximas Etiquetas "
_@M431_ "Ciudades Medianas "
_@M432_ "Caminos Secundarios "
_@M433_ "Medio"
_@M434_ "Tiempo del Menú "
_@M435_ "Menú"
_@M436_ "Métrico"
_@M437_ "Minima Descendencia"
_@M438_ "Más"
_@M439_ "Montañoso"
_@M440_ "Mover Abajo"
_@M441_ "Mover Arriba"
_@M442_ "Mover WP Abajo"
_@M443_ "Mover WP Arriba"
_@M444_ "Mover"
_@M445_ "Moviendo"
_@M446_ "Ventana de Mensaje"
_@M447_ "Menú de Múltiple Objetivo"
_@M448_ "Rotar Múltiple Objetivo"
_@M449_ "NMEA Checksum "
_@M450_ "Nombre "
_@M451_ "Nombre"
_@M452_ "Nombre: "
_@M453_ "Nombres en Manga"
_@M454_ "Nombres"
_@M455_ "Náuticas"
_@M456_ "Cercano"
_@M457_ "Nuevo Waypoint"
_@M458_ "Nuevo Perfil"
_@M459_ "Nuevo"
_@M460_ "Próximo >"
_@M461_ "Siguiente Turnpoint"
_@M462_ "No hay Waypoint activo!"
_@M463_ "No hay nada/todo"
_@M464_ "No hay Planeador"
_@M465_ "No hay Base para ir!"
_@M466_ "No hay coincidencia!"
_@M467_ "No hay Manga que cargar"
_@M468_ "No hay Manga"
_@M469_ "No hay Advertencias"
_@M470_ "No hay Información"
_@M471_ "No hay Arreglo"
_@M472_ "No hay Planeadores"
_@M473_ "No hay Aterrizables"
_@M474_ "No hay Grabadora"
_@M475_ "No hay Capas"
_@M476_ "No hay Manga"
_@M477_ "No hay ruta válida"
_@M478_ "No hay Waypoint seleccionado, no se puede salvar."
_@M479_ "Ninguno"
_@M480_ "Normal"
_@M481_ "Norte Dinámico"
_@M482_ "Norte Giratorio"
_@M483_ "North Arriba"
_@M484_ "Rastro/Norte"
_@M485_ "Norte hasta Arriba ”
_@M486_ "No hay Memoria Suficiente para Waypoints"
_@M487_ "Número: "
_@M488_ "Números"
_@M489_ "OFF (G)"
_@M490_ "OFF (no G)"
_@M491_ "OFF"
_@M492_ "OK invalidar Declaración?"
_@M493_ "Reglas OLC"
_@M494_ "ON (G)"
_@M495_ "ON (no G)"
_@M496_ "ON/Arreglado"
_@M497_ "ON/Escalado"
_@M498_ "OUT (Enter/Entrada)"
_@M499_ "Off"
_@M500_ "OnLine Contest"
_@M501_ "OnLine Contest "
_@M502_ "solo los LKMaps pueden configurarse!"
_@M503_ "Operación prohibida en dispositivos de Club"
_@M504_ "Optimizar"
_@M505_ "Anaranjado"
_@M506_ "Orientación "
_@M507_ "Otro"
_@M508_ "Capas de Color "
_@M509_ "Sobrescribir Perfil?"
_@M510_ "Sobrescribir?"
_@M511_ "PC/Normal"
_@M512_ "PDA/Normal"
_@M513_ "Parapente/Delta Horarios de Salida"
_@M514_ "FUENTE DE ENERGIA OFF"
_@M515_ "FUENTE DE ENERGIA ON"
_@M516_ "PERFIL"
_@M517_ "Regresar Página"
_@M518_ "Panorama al Centro"
_@M519_ "Gatillo de Panorama"
_@M520_ "Parapente/Delta"
_@M521_ "Pegar"
_@M522_ "Gasolina"
_@M523_ "Desmontar"
_@M524_ "Nombre de Piloto"
_@M525_ "Nombre de Piloto: "
_@M526_ "Tono"
_@M527_ "Por favor salga de LK8000 y reinicie el Dispositivo.\n"
_@M528_ "Archivo de Polar "
_@M529_ "Polling"
_@M530_ "Puerto "
_@M531_ "Presión "
_@M532_ "Perfil "
_@M533_ "Perfil ya existe"
_@M534_ "Perfil cargado!"
_@M535_ "Perfil salvado!"
_@M536_ "Aéreas Prohibidas"
_@M537_ "Prohibido"
_@M538_ "REINICIAR TODOS LOS PUERTOS COM!"
_@M539_ "REINICIANDO"
_@M540_ "RX Thread no terminado!"
_@M541_ "Remarcado"
_@M542_ "Vías de Tren "
_@M543_ "Rango"
_@M544_ "Tasa"
_@M545_ "Recargar"
_@M546_ "Rel. Dirección "
_@M547_ "Rel. Dirección "
_@M548_ "Distancia Remanente"
_@M549_ "Tiempo Remanente"
_@M550_ "Remover Waypoint"
_@M551_ "Remover Waypoint activo?"
_@M552_ "Remover de la Manga"
_@M553_ "Remover"
_@M554_ "Renombrar"
_@M555_ "Remplazar en la prueba"
_@M556_ "Reiniciar Defaults"
_@M557_ "Reiniciar QFE?"
_@M558_ "Reiniciar puertos COM?"
_@M559_ "Reiniciar cero QFE"
_@M560_ "Reiniciar"
_@M561_ "Reinicie LK8000 para aplicar los cambios."
_@M562_ "Reinicar Manga"
_@M563_ "Reinicar Manga?"
_@M564_ "Areas Restringidas"
_@M565_ "Restringido"
_@M566_ "Reintentar"
_@M567_ "Gris Rifle"
_@M568_ "Derecha "
_@M569_ "SIM"
_@M570_ "SIMULADOR"
_@M571_ "INICIO"
_@M572_ "Factor de Riesgo STF"
_@M573_ "PARAR DRENADO"
_@M574_ "Mc de Seguridad "
_@M575_ "Modo Altura de Seguridad "
_@M576_ "Altura de Seguridad "
_@M577_ "Bloqueo de Seguridad "
_@M578_ "Satélites en Rango"
_@M579_ "Salvar?"
_@M580_ "Salvar como..."
_@M581_ "Salvar cambios al Archivo de Waypoints?"
_@M582_ "Salvar Nuevo"
_@M583_ "Salvar"
_@M584_ "Puntuación"
_@M585_ "Información de Pantalla "
_@M586_ "Radio del Sector "
_@M587_ "Radio del Sector"
_@M588_ "Tipo de Sector"
_@M589_ "Tipo de Sector"
_@M590_ "Sector"
_@M591_ "Seleccionar Espacio Aéreo"
_@M592_ "Seleccionar Waypoint"
_@M593_ "Seleccionar color"
_@M594_ "Seleccionar patrón"
_@M595_ "Seleccionar"
_@M596_ "Modo Serial "
_@M597_ "Fijar Alterno 1"
_@M598_ "Fijar Alterno 2"
_@M599_ "Fijar Código de Compañero"
_@M600_ "Fijar Código de Compañero "
_@M601_ "Fijar MacCready"
_@M602_ "Fijar como Alterno 1"
_@M603_ "Fijar como Alterno 2"
_@M604_ "Fijar como Equipo"
_@M605_ "Fijar como nueva Base"
_@M606_ "Fijar Rango"
_@M607_ "Fijar Velocidad Remanente"
_@M608_ "Configurar..."
_@M609_ "Sombreado"
_@M610_ "Sombreado "
_@M611_ "Nombre de Archivo corto "
_@M612_ "Corto"
_@M613_ "Mostrar Espacio Aéreo OFF"
_@M614_ "Mostrar Espacio Aéreo ON"
_@M615_ "Mostrar Hora "
_@M616_ "Cambio Significativo de Viento"
_@M617_ "Pequeñas Ciudades "
_@M618_ "Caminos Rurales "
_@M619_ "Smaller cities "
_@M620_ "Rastro OFF"
_@M621_ "Rastro ON Completo"
_@M622_ "Rastro ON Largo"
_@M623_ "Rastro ON Corto"
_@M624_ "Sonidos OFF"
_@M625_ "Sonidos ON"
_@M626_ "Vel "
_@M627_ "Velocidad "
_@M628_ "Velocidad Lograda"
_@M629_ "Velocidad Promedio"
_@M630_ "Velocidad Estimada"
_@M631_ "Velocidad Remanente"
_@M632_ "Velocidad"
_@M633_ "Trote"
_@M634_ "Estándar"
_@M635_ "Inicio "
_@M636_ "Iniciar de todos modos"
_@M637_ "Iniciar Grabadora"
_@M638_ "Altura de Salida"
_@M639_ "Referencia Alt. de Salida "
_@M640_ "Referencia Alt. de Salida "
_@M641_ "Máxima Altura de Salida "
_@M642_ "Máxima Altura de Salida"
_@M643_ "Máxima Velocidad de Salida "
_@M644_ "Máxima Velocidad de Salida"
_@M645_ "Margen de Máxima Alt. de Salida "
_@M646_ "Margen de Máxima Vel. de Salida "
_@M647_ "Punto de Salida"
_@M648_ "Radio de Salida"
_@M649_ "Radio de Salida "
_@M650_ "Radio de Salida"
_@M651_ "Violación de Regla de Salida"
_@M652_ "Violación de Regla de Salida\r\nPero con margen..."
_@M653_ "Velocidad de Salida"
_@M654_ "Horario de Salida"
_@M655_ "Tipo de Salida "
_@M656_ "Tipo de Salida"
_@M657_ "Inicio "
_@M658_ "Estadísticas"
_@M659_ "Mensaje de Estatus "
_@M660_ "Estatus"
_@M661_ "Estatus: Aeronave"
_@M662_ "Estatus: Dispositivo Ext."
_@M663_ "Estatus: Reglas"
_@M664_ "Estatus: Sistema"
_@M665_ "Estatus: Manga"
_@M666_ "Estatus: Horarios"
_@M667_ "Estatuto"
_@M668_ "Quieto"
_@M669_ "Parar Grabadora"
_@M670_ "Alto"
_@M671_ "Puesta de sol"
_@M672_ "Voltaje de Alimentación"
_@M673_ "Estatus del Sistema"
_@M674_ "OBJETIVO POSTERIOR VISIBLE"
_@M675_ "OBJETIVO FIJADO"
_@M676_ "MANGA REINICIADA"
_@M677_ "VERDADERO"
_@M678_ "GIRO"
_@M679_ "Tabulador"
_@M680_ "Hora de Despegue"
_@M681_ "Velocidad de Objetivo"
_@M682_ "Giro del Objetivo"
_@M683_ "Objetivo Fijado"
_@M684_ "Objetivo"
_@M685_ "Calculadora de Manga"
_@M686_ "Manga Declarada!"
_@M687_ "Manga Finalizada"
_@M688_ "Revisión de Manga"
_@M689_ "Punto de Manga"
_@M690_ "Reglas de Manga"
_@M691_ "Velocidad de Manga "
_@M692_ "Salida de Manga"
_@M693_ "Estatus de Manga"
_@M694_ "Manga Declarada"
_@M695_ "distancia de Manga"
_@M696_ "Archivo de Manga ya existe"
_@M697_ "Velocidad de Manga"
_@M698_ "...ir a Manga"
_@M699_ "Manga"
_@M700_ "Código de Equipo"
_@M701_ "Traza Temporal"
_@M702_ "Brillo del Terreno "
_@M703_ "Colores del Terreno "
_@M704_ "Contraste del Terreno "
_@M705_ "Despliegue del Terreno "
_@M706_ "Archivo del Terreno "
_@M707_ "Altura del Terreno "
_@M708_ "Terreno"
_@M709_ "Terreno\nOFF"
_@M710_ "Estilo de Ingreso de Texto "
_@M711_ "Texto:"
_@M712_ "Barra de Terma "
_@M713_ "Orbitador Termal "
_@M714_ "Altura de Terma"
_@M715_ "Localizador de Terma "
_@M716_ "Este Waypoint no es editable"
_@M717_ "Tiempo "
_@M718_ "Tiempo en Giro "
_@M719_ "Tiempo en Transición "
_@M720_ "Tiempo"
_@M721_ "Conteo "
_@M722_ "Activar en Mapa<>Comunes"
_@M723_ "Activar en Mapa<>Aterrizables"
_@M724_ "Activar en Mapa<>Trafico"
_@M725_ "Activar en Mapa<>Página Actual"
_@M726_ "Activar Capas"
_@M727_ "Demasiados Waypoints en la Manga!"
_@M728_ "Pantalla Superior"
_@M729_ "Superior"
_@M730_ "superior Izquierda"
_@M731_ "Niveles de Zoom en Topología"
_@M732_ "Configuración de topología salvada"
_@M733_ "Pantalla de Topología "
_@M734_ "Etiquetas de Topología"
_@M735_ "Total:"
_@M736_ "Línea de Rastro "
_@M737_ "Rastrear"
_@M738_ "Trafico"
_@M739_ "Rastro Derivado "
_@M740_ "Longitud del Rastro "
_@M741_ "Ancho del Rastro "
_@M742_ "Triángulo"
_@M743_ "Clase Real"
_@M744_ "IAS Viento Real "
_@M745_ "Periodo de Viento Real "
_@M746_ "Viento Real Actualizado!"
_@M747_ "Tiempo de Salida de la Manga "
_@M748_ "Tiempos de Salidas de la Manga "
_@M749_ "Turnpoints"
_@M750_ "Filtro de Turnpoints "
_@M751_ "Tipo "
_@M752_ "Tipo"
_@M753_ "DESCONOSIDO! "
_@M754_ "DESBLOQUEADO"
_@M755_ "EMPLEANDO ALTURA BAROMETRICA DISPONIBLE"
_@M756_ "EMPLEANDO ALTURA BAROMETRICA"
_@M757_ "EMPLEANDO ALTURA DE GPS"
_@M758_ "UTC Offset "
_@M759_ "No se pudo cambiar configuración de Puertos"
_@M760_ "No se pudo cambiar configuración de los Puertos Seriales"
_@M761_ "No se pudo iniciar el RX Thread en el puerto"
_@M762_ "no se puede abrir Puerto"
_@M763_ "Sin cajón, sin unidades"
_@M764_ "Sin cajón, con unidades"
_@M765_ "Desconocido"
_@M766_ "Emplear Hora GPS "
_@M767_ "Emplear HBar ON/OFF"
_@M768_ "Emplear MacCready"
_@M769_ "Emplear Eficiencia Promedio"
_@M770_ "Emplear Altura Barométrica "
_@M771_ "Emplear línea negra*"
